,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,"Chorizo, sausage, fennel and chickpea soup","2 red onions, finely sliced, A little vegetable oil, 250g cooking chorizo, sliced, 6 British free-range pork sausages (400g), 1 tbsp fennel seeds, 400g tin chopped tomatoes, 1 litre chicken stock, 400g tin chickpeas, drained and rinsed, A handful of chopped fresh flatleaf parsley, A good splash of double cream",413,25.9,10.1,20.9,15.5,5.9,3.8,2.6,Spain
1,Spanish-style quail with smoky chickpea stew,"4 whole quails (wings removed), 4 bay leaves, A few glugs of olive oil, 1 tsp smoked paprika, Pinch of cayenne pepper, Glug of olive oil, 5cm piece cured pancetta (or use diced from Unearthed at Waitrose), 1 celery stick, chopped, 1 bay leaf, ½ small onion, chopped, 1 garlic clove, finely chopped, ½ red chilli, finely sliced, 400g tin chickpeas, drained and rinsed, 400g tin cherry tomatoes, 1 small tomato, chopped, 2 tsp sherry vinegar, 2 tbsp finely chopped parsley, plus extra for garnishing, ½ tsp paprika, 150ml fresh chicken stock (preferably homemade)",301,11.9,2.4,32.4,14.5,4.3,5.4,0.1,Spain
2,"Rabbit, artichoke and rosemary paella","Good pinch of saffron strands, 1 litre rabbit stock or good-quality fresh chicken stock, 175g fine beans, stalk ends trimmed, 3 tbsp olive oil, 750g rabbit pieces (see tips), 1 medium onion, finely chopped, ½ tsp chilli flakes, 5 garlic cloves, finely chopped, Leaves from 3 x 5cm fresh rosemary sprigs, ½ tsp sweet pimentón (Spanish smoked paprika) or paprika, 350g vine tomatoes, skinned and chopped, 400g paella rice (such as calasparra or bomba, available from larger supermarkets), 300g jar artichokes in olive oil, drained, 225g tinned cannellini or haricot beans, drained and rinsed, 8 small bay leaves, 1 lemon, cut into wedges, to serve",601,18.2,4.1,36.4,59.3,4.6,7.2,1.5,Spain
3,Sherry-glazed chorizo and chickpeas,"1 tbsp olive oil, 125g sliced chorizo, 50ml medium-dry sherry, 400g can chickpeas, drained and rinsed",211,11.8,3.6,10.3,10.6,1.4,3.7,0.8,Spain
4,Fried calamari with romesco sauce,"700g sliced squid or baby squid, 50g well-seasoned plain flour, Vegetable oil, 75g ground almonds, 15g stale breadcrumbs, 2 chopped garlic cloves, 12 mild Peppadew piquanté peppers, drained, 1½ tsp sweet smoked paprika, a squeeze of lemon juice, 2 tbsp red wine vinegar, 80ml olive oil",376,26.3,3.3,22.2,12.4,2.7,1.2,0.6,Spain
5,King prawns with garlic and chilli (gambas al ajillo),"12-16 raw responsibly sourced shell-on king prawns, 2 tsp chilli flakes (or to taste), 5 garlic cloves, crushed, 2 large chopped tomatoes, 150ml olive oil, Squeeze of lemon juice, Crusty bread, to serve",204,17,2.1,9.7,2.9,2.4,1.2,0.3,Spain
6,Tortilla,"3 large Maris Piper potatoes, Extra virgin olive oil, 1 Spanish onion, though a yellow onion is fine, 2 tbsps butter, 12 medium eggs, Salt, to taste",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
7,Spicy Spanish potatoes (patatas bravas),"2 large free-range egg yolks, 1 crushed garlic clove, Splash of white wine vinegar, 100ml sunflower oil, 500g waxy potatoes, 1 chopped onion, 1 finely sliced garlic clove, 1 tbsp hot smoked paprika, ½ chopped red chilli, 400g tin chopped tomatoes, olive oil, a few fresh rosemary leaves, splash of sherry vinegar",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
8,"Grilled artichoke hearts with jamón, broad beans and spring onions","12 jamón Iberico slices, 250g podded broad beans (fresh or frozen), 280g jar artichoke hearts, drained, 4 large spring onions, 1 tbsp olive oil, Juice of 1 lemon",170,9.3,3,12.9,8.8,5.5,7,1.8,Spain
9,Spanish-style pork chops with new potatoes and olives,"4 British free-range pork chops, A few good glugs of olive oil, 3 garlic cloves, unpeeled, bashed, 2 tsp smoked hot paprika and 1 tsp unsmoked sweet paprika, A few sprigs of fresh thyme, leaves stripped, Zest and juice of 1 lemon, 2 tsp fennel seeds, 2 tsp red wine vinegar, 500g baby new potatoes, sliced, Good splash of white wine, 250ml chicken stock, 100g anchovy-stuffed green olives, Handful of fresh flatleaf parsley, chopped",403,16.1,3.6,37,20.6,2.1,3.1,1.1,Spain
