,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Indian spiced vegetable frittata,"Vegetable oil for frying, 2 red onions, finely sliced, 1 garlic clove, crushed, 1½ tbsp curry powder, 2 tbsp mango chutney, 150g savoy cabbage, finely shredded, 8 medium free-range eggs, 100ml milk, Juice 1 lime, Bunch fresh coriander, chopped, plus extra to garnish, 20cm deep ovenproof frying pan",276,15.4,3.8,18.4,13.5,10.5,4.9,0.8,India
1,Spice-roasted carrots with paneer and sesame,"1 tbsp coriander seeds, 1 tsp cumin seeds, 2 tbsp sesame seeds, 1 tsp black onion seeds (also called kalonji or nigella), 1 tbsp clear honey, 6 tbsp groundnut oil, plus extra  for frying the paneer, 1kg carrots, thickly sliced  , 2 red onions, sliced , 2 green chillies, deseeded and sliced, Juice of ½ lemon, A glug of toasted sesame oil, 200g paneer, cut into 1cm cubes, Handful of fresh coriander leaves",368,25.5,5.6,10.6,26.2,24.6,9.7,0.6,India
2,Lisa Faulkner’s sunshine prawn curry with feta flatbreads,"2 tsp mustard seeds, 2 tsp cumin seeds, 1 tsp coriander seeds, 2 tbsp olive oil, 1 red onion, finely sliced, 1 red chilli, finely chopped, 1 garlic clove, crushed, 2 tsp garam masala, 2 tsp turmeric powder, 2 tsp ground coriander, 2 tsp sweet smoked paprika, 250g cherry tomatoes, halved, 250g spinach, 250g raw king prawns, grated zest and juice of 1 lemon, bunch of coriander, finely chopped, salt and pepper, 300g self-raising flour, 300g natural yoghurt, 1 tsp baking powder, 1 tbsp vegetable oil, 100g feta cheese, crumbled",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,India
3,The loyal lentil curry,"250g puy lentils or beluga lentils, 1 tbsp coconut or olive oil, 5-7 shallots, finely chopped, 4 garlic cloves, crushed with 1 tsp salt, 1½ tsp ground cumin, 1 tsp ground turmeric, 1 tsp ground cinnamon, 1 tsp paprika, 1 tsp ground coriander, 1 red pepper, finely chopped, 1-2 red chillies, deseeded and finely chopped, ½ x 400g tin chopped tomatoes or 2 plum tomatoes, roughly chopped, 400g butternut squash, roasted, 1 tbsp tahini, 1 tbsp honey, 400ml coconut milk, Juice 1 lime, 3 tbsp soy sauce, 2 tbsp extra-virgin olive oil, 200g greek or vegan yogurt, 1 tsp honey or agave syrup, Drizzle extra-virgin olive oil, ½ cucumber, shaved into ribbons, 4 tbsp rice vinegar (from the world food section of supermarkets), Fresh coriander, hot sauce such as sriracha, steamed rice and lime wedges",659,35.5,21.8,24.5,54,19.6,12.8,1.7,India
4,Sattu parathas,"100g wholemeal flour, 100g plain flour, plus extra to dust, 1 tsp fine salt, 1 tbsp extra-virgin rapeseed oil, plus extra for drizzling and frying, 60g gram flour (see food team’s tip), 1 tsp grated fresh ginger, 1-2 green chillies, seeds removed, very finely chopped, ½ small red onion, very finely chopped, 2 tsp finely chopped fresh coriander, 1 tsp cumin seeds, ½ tsp garam masala, Juice ½ lemon, 2½ tbsp extra-virgin rapeseed or olive oil, Chutney and raita",243,9.7,0.7,6.5,30.7,1.4,3.8,0.8,India
5,Vegetable curry with lime rice,"1 tbsp sunflower oil, 1 onion, sliced, 4 tbsp madras curry paste (we like Patak’s), 1 butternut squash, peeled, deseeded and cut into 2cm pieces, 1 cauliflower, cut into florets, 250g frozen peas, 200g spinach, 5 tbsp full-fat greek yogurt, 2 x 250g packs ready cooked basmati rice (we used Tilda), 50g fresh coriander, roughly chopped, to serve (optional), Zest and juice 2 limes, plus wedges to serve",461,12.6,2.7,16.9,62.4,17.5,15.3,1.1,India
6,Parsnip and carrot dhal,"500g parsnips, diagonally sliced into even-sized chunks, Olive oil for drizzling/frying, 1 onion, finely chopped, 1 tbsp cumin seeds, 1 tbsp garam masala, 30g fresh ginger, grated, 300g split red lentils, 400g tin chopped tomatoes, 3 carrots, grated, 100g young leaf spinach, roughly chopped",489,9.9,1.4,24.1,67.4,17.9,15.4,0.3,India
7,Indian paneer and cabbage curry,"4 tbsp sunflower oil, plus extra if needed, for frying, 200g paneer, cut into 2cm cubes, 2 onions, sliced, 1 green pepper, finely sliced, ½ tsp ground turmeric, 2 tbsp ground cumin, ½ tsp chilli powder, ½ tsp ground fenugreek, 2 tbsp fennel seeds, Thumb-size piece fresh ginger, grated, 4 garlic cloves, crushed, ½ savoy cabbage, heart removed and leaves shredded, 4 large tomatoes, diced, or ½ x 400g tin chopped tomatoes, ½ tsp sugar, 1 tbsp garam masala, Fresh coriander leaves and black onion seeds (sometimes called nigella) to garnish, Flatbreads, natural yogurt and lemon wedges to serve",375,21.9,8.7,20.3,19.3,16.2,9.6,0.2,India
8,Carrot halwa spring rolls,"100g ghee or clarified butter, 500g carrots, grated, 3 green cardamom pods, seeds removed and ground in a pestle and mortar, 100g caster sugar, 2 tbsp raisins, 250ml evaporated milk, 3 filo pastry sheets, cut in half widthways into squares, 40g unsalted butter, melted, Icing sugar to dust",440,26.8,15.9,6.2,42,32,3.4,0.3,India
9,Chetna Makan’s three chocolate and cardamom tart,"165g plain flour, plus extra to dust, 30g cocoa powder, plus extra to dust, 50g icing sugar, 110g unsalted butter, softened, 2 medium free-range egg yolks, 100ml double cream, 100g white chocolate, roughly chopped, 200ml double cream, Seeds from 10-12 cardamom pods, crushed in a pestle and mortar, 100g dark chocolate, roughly chopped, 100g milk chocolate, roughly chopped, 25g unsalted butter, softened, 150ml double cream, 150g mascarpone, 2 tbsp caster sugar, Handful toasted chopped hazelnuts to decorate, 23cm diameter fluted tart tin, around 4cm deep",675,54.2,32.9,6.7,39.2,26.4,"1,9",0.1,India
