,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,"Cheddar, jalapeño, chilli and sweetcorn muffins","175g plain flour, 4½ tsp baking powder, ½ tsp salt, 150g dried polenta, 100g finely grated mature cheddar, ¼ tsp chilli flakes, 284ml pot of buttermilk (or whole milk), 2 medium free-range eggs, 75g melted butter, 160g drained tinned sweetcorn, 2 deseeded, chopped jalapeño chilli, 1 sliced jalapeño chilli, 25g grated cheddar",224,10.7,5.,7.8,23.4,2.2,1.4,1,Mexico
1,Parmesan taco shells,"100g cheddar, finely grated, 50g parmesan, finely grated",155,12.4,7.8,10.6,0.1,0.1,0,0.7,Mexico
2,Beef fajitas with avocado and sweetcorn salsa,"2 tbsp olive oil, 2 x 250g British free-range rump steaks, 4 red peppers, sliced, 2 onions, sliced, 2 garlic cloves, finely chopped, 1 tbsp fajita seasoning, 2 ripe avocados, 100g sweetcorn kernels, sliced off the cob, blanched (or tinned, rinsed and drained), Juice 1 lime, plus wedges or squeezing, 4-8 flour tortillas (depending on size), Roughly chopped fresh coriander, grated cheddar and soured cream (optional)",649,30.2,7.9,37.8,51.5,12,10.9,2,Mexico
3,Vegetarian huevos rancheros,"1 tsp olive oil, plus extra for frying the eggs, 1 onion, chopped, ½ tsp ground cumin, Pinch dried chilli flakes, 400g can black beans, drained and rinsed, 2 corn tortillas, 2 medium free-range eggs, 50g feta, crumbled, 1 avocado, peeled and stoned, Small handful chopped fresh coriander, plus extra to garnish, Juice 1 lime, ½ garlic clove, 4 ripe tomatoes, finely chopped, ½ red onion, finely chopped, Small handful chopped fresh coriander, Dash Tabasco sauce",663,31.6,9.4,27.9,56.9,16.3,19.9,1.3,Mexico
4,Lighter chicken enchiladas,"1 large onion, cut into 2cm wedges, 2 large red peppers, cut into thin strips (about 1.5 cm), 2 British free-range skinless boneless chicken breasts, cut into 2cm strips lengthways, Olive oil for brushing, 8 small soft flour tortillas, 435g tin refried beans, 60g reduced-fat cheddar-style cheese, grated, Chopped fresh coriander and crisp green salad to serve, 1 tbsp olive oil, 1 large onion, finely chopped, 3 garlic cloves, finely chopped, 1kg tomato passata, 2 tbsp Mexican spice mix (we used Old El Paso Seasoning Mix For Smoky BBQ Fajitas), 2 small fresh jalapeño (or regular green) chillies, deseeded and very finely chopped, 2 tbsp olive oil, 2 tbsp plain flour, 150ml fresh chicken stock, hot, 150g fat-free Greek yogurt (we like Total)",404,11.4,3.4,23.3,48.5,9.7,7.7,2.3,Mexico
5,Smoky sweetcorn fritters with tarragon yogurt,"90g self-raising flour, 100ml milk, 1 large free-range egg, ½ tsp sweet smoked paprika (also called pimentón dulce), 2 x 340g tins sweetcorn in water, drained, 5 spring onions, finely sliced, 2 garlic cloves, crushed, 1 small red chilli, deseeded and very finely chopped, 6 tbsp vegetable oil for frying , 150g natural yogurt, Small handful tarragon, roughly chopped, Juice ½ lemon, plus wedges to serve, Green salad to serve",401,22.4,3.2,10.6,36.8,12.8,4.8,0.4,Mexico
6,Ultimate chilli,"2 tbsp rapeseed oil, 1 large onion, finely chopped, 3 garlic cloves, finely chopped, 3 small carrots, finely chopped, 2 celery stalks, finely chopped, 2 red peppers, finely chopped, 2 tsp hot chilli powder, 1 tsp smoked paprika, 2 tsp ground cumin, Good pinch of cinnamon, 500g rib-eye steak, finely chopped, fat removed, 2 x 400g tins chopped tomatoes, 1 tbsp Worcestershire sauce, 1 tbsp treacle, 1 x 400g tin each kidney beans and chickpeas, drained and rinsed, Crusty bread and crème fraîche to serve",231,8.1,2.1,20.2,20,10.1,7.3,0.6,Mexico
7,Spicy guacamole,"2 ripe avocados, Juice of 2 limes, 1 small red onion, finely chopped, 1-2 tsp Tabasco sauce, 2 tbsp extra-virgin olive oil, Bunch of fresh coriander, roughly chopped",104,10.2,2.2,0.9,2,1.2,2,0.1,Mexico
8,Tomato salsa salad,"4 medium-size vine-ripened tomatoes, chopped into chunks,, or 12 cherry tomatoes, quartered, 2 red peppers, finely chopped, ½ red onion, finely chopped, 1 garlic clove, crushed, Small handful of fresh coriander, finely chopped, Juice of 1 lime, 1 tbsp extra-virgin olive oil ",36,1.7,0.3,0.9,4.3,4.1,1.6,trace,Mexico
9,Spicy Mexican tortilla soup with avocado salsa,"2 tbsp olive oil, 1 large onion, finely chopped, 2 garlic cloves, sliced, ½ dried ancho chilli, soaked in boiling water for 15 minutes, then drained (see tips), 1 tsp sweet smoked Spanish paprika (pimentón), 1 tsp ground cumin, 1 litre vegetable stock, 2 x 400g tins chopped tomatoes, 400g tin kidney beans, drained and rinsed, 400g tin black beans, drained and rinsed, 200g frozen sweetcorn, Soured cream and lime wedges to serve, 3 soft flour tortillas, Olive oil to brush, 2 ripe avocados, Extra-virgin olive oil to drizzle, Juice 2 limes, Small bunch fresh coriander, leaves picked and stems chopped, 1 fresh jalapeño (or green) chilli, seeds removed, finely sliced",247,14.1,2.5,8.1,17.3,6.2,9,0.8,Mexico
