,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Bang bang tofu salad,"1 thinly sliced red onion, 3 tbsp red wine vinegar, A pinch each of caster sugar and salt, 170g sushi rice, 300g tenderstem broccoli, 1 tbsp vegetable oil,  2 x 225g blocks of extra-firm smoked tofu (we like The Tofoo Co, from Waitrose, Tesco and Co-op),  50g smooth peanut butter, 25g gluten-free sweet chilli sauce, 1 tbsp toasted sesame oil, 1 tbsp tamari soy sauce, 2 tsp rice vinegar, 1 tsp mirin, 1 tsp black sesame seeds, Pinch of chilli flakes, to serve",497,21.4,3.8,25.1,47.2,9.5,7.4,1.1,vegan
1,Vegetable gyoza dumpling stir-fry,"1 tsp vegetable oil, 5 frozen vegetable gyoza (see tip), ½ carrot, peeled into ribbons, ½ courgette, peeled into ribbons, 100g sugar snap peas, halved, 1 tsp toasted sesame oil, 1 tsp soy sauce, plus extra for drizzling, ¼ tsp nigella seeds, 2 spring onions, finely sliced, 25g roasted salted peanuts, crushed or chopped",450,23.5,3.6,20.1,34.4,14.2,10.1,1.6,vegan
2,"Smoky orange, roasted tomato and olive pappardelle","8 ripe tomatoes, roughly chopped, 1 orange, cut into 6 wedges, 1 tbsp light olive oil, ¼ tsp sweet smoked paprika, 4 garlic cloves, thinly sliced, 2 tsp maple syrup, 300g egg-free pappardelle or other dried pasta, 150g pitted green olives, roughly chopped, 2 large handfuls mixed herbs or rocket, roughly chopped, 50g mixed seeds or roughly chopped nuts (such as almonds, hazelnuts or pine nuts) , 2 tbsp extra-virgin olive oil",529,21.2,3.2,14.9,65.6,10.7,8.1,1,vegan
3,Satay french toast with avocado,"2 tbsp milled flaxseeds, 200ml light coconut milk, 3 tbsp crunchy peanut butter (we used Manilife Deep Roast from hollandandbarrett.com), 1-2 garlic cloves, crushed, 2cm piece fresh ginger, grated, 4 slices sourdough bread, Vegetable oil to grease, 1 ripe avocado, sliced, Thinly pared zest and juice 1 lime, Handful salad herbs (we used Growing Underground Asian micro herbs from M&S and Ocado), ½ red chilli, sliced (optional)",596,33.3,10.3,16.7,52.1,3.4,10.2,1,vegan
4,"Aubergine, tomato and chickpea traybake","3 tbsp olive oil, 2 medium aubergines, cut into 2cm cubes, 3 tbsp rose harissa (I like Belazu), diluted with 1 tbsp water – see tips, 300g cherry tomatoes, 400g tin chickpeas, drained and rinsed (see tips), Finely grated zest 1 lemon, 3 tbsp tahini, thinned with warm water to create a dressing the consistency of single cream, Small handful fresh mint leaves (see tips), Flatbreads or pitta breads to serve",263,17,2.4,9.3,13.3,5.2,9.6,0.2,vegan
5,Perfect roast potatoes for Christmas,"75ml vegetable oil (we used Essential Waitrose Vegetable Oil], 2kg floury potatoes (we recommend maris piper)",280,7.1,0.5,4.8,46.7,2.1,5,trace,vegan
6,Homemade rye crackers,"150g rye flour, 150g plain flour, plus extra for dusting, 1 tsp sea salt, 4 tbsp olive oil, plus extra to brush, 3 tbsp mixed seeds (such as coriander, fennel and sesame), 2 baking sheets lined with non-stick baking paper",184,8.1,1.2,3.8,22.4,0.4,3.1,0.5,vegan
7,Bounty parfait cheesecake,"25g toasted coconut flakes (from large supermarkets and health food shops), 2 tbsp cocoa powder, 125g vegan biscuits (we used Doves Farm Organic Wholemeal Digestive Biscuits), 4 tbsp coconut oil, melted, 400ml tin coconut milk, 160ml tin coconut cream, 1 tbsp vanilla bean paste, 1 tsp maple syrup, 75g desiccated coconut, 150g dark chocolate, roughly chopped (if you’re vegan, check the label to make sure the chocolate is vegan), 1 tsp vanilla bean extract, 1 tbsp maple syrup, 2-3 tbsp boiling water, Small handful toasted coconut flakes to decorate, 900g loaf tin, double-lined with cling film – leave plenty of excess overhanging the edges",364,28.2,21.7,3.9,21.8,13.9,3.4,0.2,vegan
8,Vegan katsu curry,"280g block extra-firm tofu (we used The Tofoo Co Naked Tofu, from larger supermarkets), 1 tbsp soy sauce, 50g panko breadcrumbs (check the label to ensure they’re vegan), 2 tbsp cornflour, Vegetable or sunflower oil to fry, Steamed rice, salad leaves and sushi ginger (from large supermarkets) to serve, Drizzle vegetable oil, ½ onion, chopped, 1 garlic clove, crushed, ½ carrot, grated, ½ small granny smith apple, peeled and grated, ½ tbsp medium curry powder, 1 tsp soy sauce, ½ tbsp miso paste",503,23.5,3.3,23.1,45.6,11.4,8.3,2.1,vegan
9,Masala cauliflower potatoes,"1 tbsp sunflower oil, 1 tsp black or yellow mustard seeds, 1 tsp cumin seeds, 1 large onion, roughly chopped, 2 garlic cloves, finely chopped, 1cm piece fresh ginger, peeled and finely chopped, 1 small green chilli, finely chopped, 2 plum tomatoes from a tin, roughly chopped, 1 tsp salt, 1 tsp garam masala, 1 tsp ground turmeric, ½ tsp chilli powder, 200g frozen peas, 1 large cauliflower, cut into small florets, 1 large potato, cut into 2.5cm chunks, Handful fresh coriander leaves, finely chopped, to garnish",252,5.6,0.9,12.5,32.9,12.7,10,0.1,vegan
10,Roast purple sprouting broccoli with smashed white beans,"3 tbsp olive oil, plus extra for drizzling,  1 medium onion, halved and thinly sliced, 4 garlic cloves, sliced, 2 pinches chilli flakes, 2 fresh rosemary sprigs,  2 x 400g tins butter beans, drained and rinsed,  300ml good quality vegetable stock, 2 medium red onions, 400g purple sprouting broccoli, 1 tbsp sunflower seeds, 1 tbsp pumpkin seeds, Juice ½ lemon",375,17.4,2.6,15.8,30.6,9.3,16.1,0.5,vegan
11,Root vegetable and lentil tagine,"1 tbsp light olive oil, About 900g mixed root veg (see tip), 2 tbsp dried harissa spice mix (we used Bart), Large handful fresh parsley, stalks and leaves chopped separately , 200g dried green lentils, 2 x 400g tins cherry tomatoes, 700ml gluten-free vegetable stock, 1 preserved lemon, flesh and pith discarded, peel finely sliced, 6 prunes, stoned and quartered, 1 small cauliflower, cut into florets, any small leaves reserved, Unsweetened coconut yogurt to serve, Cooked rice or couscous to serve",252,3.9,0.6,13.3,34.8,18.1,12.2,0.3,vegan
12,Baked falafel in tomato sauce,"150g pack falafel mix (we used Al’fez from Waitrose, but Sainsbury’s sells a similar one), Small handful fresh flatleaf parsley, finely chopped, 1 tbsp olive oil, 1 onion, finely chopped, 1 yellow pepper, chopped, 1 tbsp harissa paste, 50g dried apricots, chopped, 400g tin cherry tomatoes, 200ml vegetable stock, hot, 60g baby leaf spinach, 2-3 tbsp tahini",260,13,1.4,7.3,24,14.1,8.5,0.7,vegan
13,"Lentil, tomato and paprika soup with crispy kale","1 tbsp vegetable oil, plus a splash extra, 1 onion, chopped, 2 garlic cloves, crushed, 1 fresh rosemary sprig, 2 tbsp sweet smoked paprika, 250g red lentils, 400g tin chopped tomatoes, 1 litre vegetable stock (from a stock cube), 100g prepared kale, Squeeze of lemon juice, Crusty bread to serve",322,7.9,0.8,17.9,39.9,7.6,9.7,0.6,vegan
14,Tofu and cauliflower curry,"1 tbsp sunflower oil, 400g tofu, sliced into 2cm cubes, 6 tbsp red Thai curry paste, 2 bruised lemongrass sticks, 1 cauliflower, separated into florets plus reserved cauliflower leaves, 450g tin of mango pulp, 400ml light coconut milk, 150g frozen peas, Coconut yogurt and large handful of fresh coriander leaves, to serve",461,23.9,8.4,22.5,32.6,24,12.8,0.9,vegan
15,Mango overnight oats ,"300g jumbo rolled oats, 275ml dairy-free milk (we used oat), 450g tin of mango pulp, 1 large apple, grated, 200g dairy-free yogurt (we used coconut), Passion fruit seeds and the pulp, toasted chopped pistachios, pomegranate seeds, mixed seeds, to serve",284,6,1.3,7.6,46.1,13.8,8,0.2,vegan
16,Grilled mango and coconut ‘pannacotta’,"400ml tin full-fat coconut milk, 35ml vegan rum (optional), 1 vanilla pod, seeds scraped out (or 2 tsp vanilla bean paste), 250ml non-dairy milk, 5-6 tbsp coconut honey (see Know-how) or maple syrup to taste, 65g cornflour, 200g ripe mango, peeled and cubed, ½ tsp chilli flakes, 1 tbsp coconut oil, plus extra for greasing, ½ ripe mango, peeled and cut into 2.5cm-thick slices, 2 tbsp coconut sugar, Fresh mint leaves, chopped, Coconut flakes, lightly toasted, 6 x 150ml dariole moulds or ramekins, lightly greased with coconut oil and bases lined with non-stick baking paper",271,13.8,11.4,1.5,31.1,19.9,2.1,0.1,vegan
17,Hasselback potatoes with ‘cheese’ sauce,"500g baby new potatoes, 3 tbsp rapeseed oil, 1 tbsp dried rosemary, 2 tsp sea salt, 1 tsp cracked black pepper, Finely grated zest 1 lemon, 1 garlic clove, crushed, Handful fresh chives, chopped, to serve, Handful dried cranberries to serve, 80g raw cashew nuts, soaked in freshly boiled water for 15 minutes, 120ml filtered cold water, 120ml cold non-dairy milk, 2 tbsp tapioca starch (see Know-how), 3 tbsp nutritional yeast (see Know-how), 1 tsp tahini, 1 tsp white miso, Pinch each sea salt and white pepper",224,8.5,1.7,8.7,25.7,4.4,5.2,1.8,vegan
18,Herb-crusted cauliflower and leek ‘cheese’,"1 large cauliflower, cut into florets, 1 leek, sliced into 2cm rounds, 400ml tin coconut milk, 5 tbsp nutritional yeast (see Know-how), 80g raw cashew nuts, soaked in freshly boiled water for 15 minutes, 1 banana shallot, 1 tbsp white miso paste, 6 tbsp non-dairy milk, Juice ½ lemon, 1 garlic clove, 1 bay leaf, 2 fresh thyme sprigs, 100g dried breadcrumbs, Handful fresh flatleaf parsley, 2 fresh rosemary sprigs, leaves picked, Handful fresh sage leaves, 4 fresh thyme sprigs, leaves picked, 3 tbsp rapeseed oil, 15cm x 23cm ovenproof baking dish ",553,36.6,17.2,18.7,34.1,7.4,5.9,0.6,vegan
19,Shallot tarte tatin,"320g vegan puff pastry (we used Jus-Rol), Plain flour for dusting, 4 tbsp rapeseed oil, 5-6 banana shallots, peeled, cut in half lengthways and roots trimmed, 3 tbsp soft light brown sugar, 4 tbsp balsamic vinegar, 2 tbsp vegan brandy (optional; see Vegan Drinks Cupboard), 2 fresh thyme sprigs, 1 fresh rosemary sprig, ½ tsp sea salt flakes, ½ tsp cracked black pepper, 25cm non-stick ovenproof, heavy-based frying pan (measured across the top)",463,29.9,10.2,5.1,38,12.6,2.3,1.4,vegan
