,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Pumpkin and coconut pilau,"300g basmati rice, 2 red onions, peeled and cut into wedges, 1kg pumpkin or squash (with edible skin), halved, deseeded and cut into 3cm wedges, Vegetable oil for drizzling, 1 tbsp garam masala, 1 tsp cumin seeds, Good pinch saffron, 3 green chillies, 2 tbsp coconut oil, 3 garlic cloves, finely sliced, 7cm piece fresh ginger, peeled and cut into matchsticks, 1 cinnamon stick, 4 cloves, Large handful coconut flakes or toasted coconut, Large handful dried cranberries, A few fresh coriander and mint sprigs, leaves picked, 1 lemon for squeezing",370,12.8,7.2,7.2,53.8,10.3,5.7,trace,vegan
1,Party pani puri,"400g tin chickpeas, drained and rinsed, 1 large potato (around 200g), peeled and chopped into 1cm cubes , Vegetable oil for drizzling, 1 heaped tsp chaat masala – we used Waitrose Cooks’ Ingredients, ⅓ bunch fresh coriander, leaves picked and roughly chopped, Seeds from 1 pomegranate, 1 red onion, finely chopped, 30 puri shells (see Know-how), 3 medjool dates, pitted and chopped, 3 tbsp tamarind paste, 3 tbsp jaggery or soft light brown sugar (see Know-how), ½ tsp ground coriander, 3.5cm piece fresh ginger, peeled and grated, ⅔ bunch fresh coriander, 2 tbsp jaggery or soft light brown sugar (see Know-how), 3.5cm piece fresh ginger, peeled and grated, A few fresh mint sprigs, leaves picked and roughly chopped, 2 green chillies, trimmed, deseeded and roughly chopped, 1 tsp ground cumin, Blender, food processor or mini food processor",67,1.9,0.2,1.5,10.4,4.8,1.3,0.1,vegan
2,Roast parsnip and red onion salad,"6 medium parsnips, quartered lengthways and cored, 2 red onions, peeled and cut into 6-8 wedges , 6 bay leaves, A few bushy rosemary sprigs, 3 tbsp extra-virgin olive oil , Handful walnut halves, 2 medium oranges, 2 red chicory, leaves separated , 2 tsp dijon mustard, Splash red wine vinegar",262,11.1,1.6,5.1,28.7,14.5,10.8,0.2,vegan
3,"Spelt, chicory and mushroom one pot","3 tbsp light olive oil,  600g mixed mushrooms (we used wild and chestnut) , 2 onions, sliced , 4 garlic cloves, crushed , 250g spelt or farro , 750ml vegetable stock or water , 3 heads chicory, roughly sliced into 4/5 chunks , 70g dried cranberries or cherries , Squeeze of lemon juice , Small bunch coriander (dill would also be nice if preferred), chopped, 4-6 tbsp tahini (we like Belazu)",412,19,3,13,43,19,8.6,0.1,vegan
4,Jackfruit pasta bake,"300g dried pasta (check it’s egg free; we used conchiglie), 1 tbsp sunflower oil, 1 red onion, finely chopped, 2 mixed peppers, finely sliced, 3 tbsp fajita spice mix, 400g tin jackfruit, drained and rinsed (from large supermarkets), 197g tin sweetcorn, drained, 680g tomato passata , 2 handfuls vegan tortilla chips, 2 ripe avocados, sliced, 1-2 fresh jalapeños, sliced (or use pickled, if you prefer), Juice 1-2 limes or wedges to serve",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,vegan
5,Kung pao cauliflower,"A few sprays Frylight Vegetable Oil (from large supermarkets), 1 small cauliflower, trimmed and cut into 1.5cm thick slices, ½-1 tsp sichuan peppercorns (from large supermarkets), roughly crushed in a mortar and pestle, 2 garlic cloves, crushed, 3cm piece fresh ginger , 2 spring onions, white and green parts sliced separately , 2-3 dried red chillies (optional), 1 tbsp tamari (check it’s gluten-free, if necessary), 2 tbsp sweet chilli sauce, 1 red chilli, sliced, 50g roasted unsalted peanuts , Pinch toasted sesame seeds, Fresh coriander leaves to serve",240,14,2.6,13,12.2,7.7,5.8,1.6,vegan
6,Chocolate hobnob-style biscuits (vegan),"100g rolled oats, 125g wholemeal flour, plus extra to dust, 50g plain flour, 100g unrefined golden caster sugar (we used Billington’s), 50g unrefined dark muscovado sugar (we used Billington’s), 100ml vegetable oil, 2 tbsp golden syrup, 1 tsp bicarbonate of soda, 2 tbsp boiling water, 150g melted dark vegan chocolate, 2-3 baking sheets, lightly floured",126,5,1.3,1.6,18,10.8,1.1,0.1,vegan
7,Orange and rosemary sgroppino,"70g caster sugar, 480ml fresh orange juice, 4-6 fresh rosemary sprigs, 4 tbsp Gin Mare gin, 1 scoop orange and rosemary sorbet, 2 tbsp Gin Mare gin, 75-100ml prosecco, 1 fresh rosemary sprig, Ice cream machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,vegan
8,Tomato and vegetable sauce,"4 tbsp extra-virgin olive oil, ½ onion, finely chopped, ½ celery stalk, finely chopped, 1 small carrot, finely chopped, ½ courgette finely chopped, 2 x 400g tins chopped plum tomatoes, 1 vegetable stock pot or cube (check it’s vegan, if necessary)",113,7.8,1.1,1.9,7.7,6.9,2.1,0.9,vegan
9,Green tomato chutney,"500g green tomatoes, 450g onions, chopped into 1cm pieces, 25g pickling spices (we used Bart spices), 170g light muscovado sugar, About 500ml malt vinegar, 450g cooking apples, peeled, cored and chopped to 1cm pieces, 170g raisins, 55g sultanas, 3 fat garlic cloves, finely chopped, 1½ tbsp yellow mustard seeds, 1 tbsp cayenne pepper, 1 tsp ground ginger, ½ tbsp fine salt, Large heavy-based saucepan or casserole, square of muslin, kitchen string, glass jars with lids (enough for 1.2kg chutney)",24,0.1,0,0.3,5.1,4.9,0.4,0.1,vegan
