,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Mexican mole rojo,"4 British free-range chicken legs, ½ tsp dried oregano, 3 bay leaves, 6 peppercorns, 1 tsp sea salt, 5 ancho chillies (see Know how), deseeded, torn open, 2 chipotle chillies (see Know how), deseeded, torn open, 3 x 10cm corn tortillas, torn, 75g lard or sunflower oil (plus a little more if needed), 50g blanched hazelnuts, 50g walnuts, 50g flaked almonds, 40g sesame seeds, 1 large onion, finely chopped, 5 whole garlic cloves, peeled, 2 tbsp finely chopped fresh coriander stalks, 40g sultanas, 50g dried apricots, 2 star anise, 5 cloves, 1½ tsp cumin seeds, 1 tsp ground black pepper, 1 tsp ground cinnamon, ½ tsp ground allspice, 1-1.2 litres fresh chicken stock, 2 tbsp tomato purée, Juice 1 large orange, 1 generous tbsp muscovado sugar or dark clear honey, 1 tbsp good quality cocoa powder (we like Green & Black’s), 2 tsp flaked sea salt, Steamed white rice, Toasted sesame seeds",616,38.1,9,27.8,34.3,15.6,5,2.7,Mexico
1,Diana Henry’s Mexican chicken and pumpkin with pepita pesto,"8 skin-on, bone-in British free-range chicken joints or thighs, 1 tbsp soft light brown sugar, 4 fresh thyme sprigs, leaves picked, 3 tsp dried oregano, 2 tsp ground cumin, 2 tsp ground allspice, 6 tbsp olive oil, Juice 1 lime, Juice ½ orange, 900g well-flavoured pumpkin, peeled and cut into thick wedges (see tip), 60g feta, finely crumbled, 20g pumpkin seeds, 60g fresh coriander sprigs, plus extra to serve, 20g unroasted cashew nuts, 2 garlic cloves, chopped, Juice 1½ limes, 125ml extra-virgin olive oil, 1 red chilli, deseeded and finely chopped, plus extra to serve",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mexico
2,Vegetarian chilli,"2 tbsp coconut oil or extra-virgin olive oil, or ghee (clarified butter), 1 large onion, finely chopped, 2 garlic cloves, finely chopped, 2 tsp cumin seeds or 1 tsp ground cumin, 1 fresh chilli (more if you like it hot), deseeded and finely chopped, 1 tsp paprika, 1 tsp dried oregano, 2 carrots, finely chopped, 150g frozen sweetcorn, defrosted, 3 large celery sticks (we used the leaves too), finely chopped, 150g walnuts, very finely chopped, 300g dried mixed beans, such as kidney, black and adzuki, black eye or borlotti, soaked in cold water overnight, then boiled in fresh water for 40-50 minutes until tender (or 3 x 400g cans cooked mixed pulses, drained), 2 x 400g tins tomatoes, 2 tsp sea salt, 60g strong dark chocolate (at least 80 per cent cocoa solids), roughly chopped, 120ml natural yogurt, Large handful fresh coriander, leaves picked 4 corn tortillas, toasted over a naked gas flame or in a dry pan",366,19.6,5.5,15.1,33.6,13,9.8,1.4,Mexico
3,One-pan chilli eggs with guacamole,"Splash sunflower oil, 4-6 large free-range eggs, 2 tbsp extra-virgin olive oil, Good pinch chilli flakes (we used aleppo chilli, from Turkish delis or at souschef.co.uk), or 1 red chilli, deseeded and finely chopped, Good quality bread, toasted and buttered, to serve, 3 ripe avocados, 1 long red chilli, deseeded and finely chopped, 1 garlic clove, crushed, Large bunch fresh coriander, leaves roughly chopped, Juice 1-2 limes, ½ red onion, very finely chopped",375,26.9,5.9,12.9,21.2,2.1,4.4,0.7,Mexico
4,Quick steak fajitas with pickled red onions,"2 red onions, 2 limes, plus extra for wedges, 1 tsp sugar, 2 small red peppers, 2 drizzles olive oil, ½ -1 tbsp Cajun seasoning, 3 large (200-220g each) British rump steaks, Tortilla wraps, sliced avocado, soured cream, curly spring onions (see tips) and lime wedges to serve, if you like",294,12.2,3.4,34.7,11.3 carbs,9,3.1 fibre,0.6 salt,Mexico
5,Mexican baked beans,"Good glug olive oil, 1 large onion, finely chopped, 5 garlic cloves, crushed, Good pinch ground cinnamon, 1 tbsp each ground cumin and coriander, 3 tbsp chipotle paste, 600g small ripe vine tomatoes, roughly chopped (about 2 packs), 2 tbsp molasses or treacle, 4 x 400g tins haricot beans, drained and rinsed, 2-3 ripe avocados, Juice of a lime, Soured cream, grated cheddar and fresh coriander to serve",347,16.4,3.2,13.5,37.3,8.9,17.8,0.4,Mexico
6,Chilli con carne with avocado and chilli salsa,"175g dried black beans, soaked overnight, then drained, 1 large dried chipotle chilli or 1 tbsp chipotle chilli paste (from the world food aisle of large supermarkets or coolchile.co.uk), 4 tbsp sunflower oil, 1kg British chuck or blade steak, cut into 2.5cm chunks, 1 large onion, chopped, 4 garlic cloves, crushed, 2 tsp chilli flakes, 1 fresh red habanero chilli or 2 fresh green jalapeño chillies, deseeded and chopped, 2 tsp freshly ground cumin seeds, 1 tbsp paprika, 1 tsp medium-hot chilli powder, 200g chopped skinned tomatoes, fresh or from a tin, 2 tsp light muscovado sugar, 600ml fresh beef stock, 1 tsp dried oregano, 4 fresh bay leaves, 100ml soured cream to serve, 3 medium vine tomatoes, skinned, deseeded and diced, 2 small ripe avocados, diced, ½ red onion, finely chopped, 1 fresh jalapeño chilli, deseeded and finely chopped, 10g fresh coriander leaves, coarsely chopped, plus extra to serve, Juice ½ lime, 2 shakes Tabasco sauce",779,41.5,13.5,71.2,32.7 carbs,11.8,13.8 fibre,0.5 salt,Mexico
7,Maple and chilli pork wraps with smoky mayo,"4 pork steaks marinated in maple and chilli (we like Marks & Spencer Maple & Chilli Pork Steaks), 4 tortilla wraps (we used seeded ones from Marks & Spencer), 4 tbsp Gran Luchito Mayo (available from Marks & Spencer) – or use ordinary mayonnaise pepped up with a dash of Tabasco Chipotle Pepper Sauce or chipotle paste, 100g (approx – no need to be too precise) red cabbage, Large handful fresh coriander leaves, Lime juice to taste",532,23.7,7.3,39.3,38.7,3.3,3.4,1.3,Mexico
8,Mojito tin-can cupcakes,"125g unsalted butter, softened, 200g caster sugar, 3 medium free-range eggs, 200g self-raising flour, 50g polenta or cornmeal, 100g dark chocolate chunks, Zest and juice 2 unwaxed limes, 75g crème fraîche, 1 pinch fine sea salt, 25g granulated sugar, Juice 2 limes, Handful fresh mint leaves, 200g light muscovado sugar, 200ml water, 200ml rum, 20g butter",732,32.4,19.3,8.9,94.1,64.4,2.2,0.6,Mexico
9,Nachos with oxtail chilli,"4 tbsp olive oil, 1kg British oxtail, Plain flour, seasoned, to dust, 2 onions, finely chopped, 2 green chillies, finely chopped (optional; see tip), 4 dried chipotle chillies or dried red chillies, 1 tbsp ground cumin, 2 tsp ground coriander, 2 tsp ground cinnamon, 3 tbsp tomato purée, 400g tin chopped tomatoes, 750ml good quality beef stock, 2 star anise, Large bunch of fresh coriander, with roots if you can find it, finely chopped, Tortilla chips, Grated cheddar or monterey jack cheese, Pickled jalapeños, Soured cream",400,25.2,8.1,39,6,4.7,1.5,0.6,Mexico
