,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Spinach and artichoke one-pan pasta,"350g dried tagliatelle (see tip) , 1.2 litres vegetable stock (preferably fresh but you can use stock cubes), 2 tbsp olive oil , 2 fresh basil sprigs, leaves torn, plus extra to serve , ½ tsp chilli flakes, 2 x 175g packs chargrilled artichokes in oil, drained, 4 garlic cloves, sliced , 115g baby spinach leaves, 150g mini mozzarella, drained, 2 tbsp pine nuts, toasted in a dry pan",594,25.4,7.4,22.4,65.1,3.9,8,2.1,Italy
1,Zuppa di ceci e farro (chickpea and farro soup),"800g dried chickpeas, 2-3 fresh sage sprigs , 4-5 fresh parsley sprigs , 2 fresh rosemary sprigs , 3 bay leaves, 6 garlic cloves, 200g farro, 100ml extra-virgin olive oil, 2 garlic cloves, sliced , 4 fresh rosemary sprigs, leaves stripped , 1 tsp chilli flakes",394,15.9,4.3,18.3,38.7,2.8,11.5,0.2,Italy
2,Rotolo di spinaci (spinach roll),"650-750g floury potatoes (such as maris piper), scrubbed , 2 tbsp olive oil, 125g unsalted butter, 1 small leek, cut into thin strips and washed thoroughly, 300g frozen spinach, defrosted and squeezed dry, 150g ricotta, 100g parmesan (or vegetarian alternative), freshly grated, Grating fresh nutmeg, 1 medium free-range egg, 100-150g plain flour, 1 tbsp salt, 6-7 fresh sage leaves, roughly torn, 1 garlic clove, crushed, Deep frying pan or saucepan with a tight-fitting lid at least 35cm in diameter (or a fish kettle or deep roasting tin that will go on the hob – see tips) , Potato ricer",477,30.1,16.7,15,34.4,2.1,3.8,0.4,Italy
3,Tortino di porri e riso (leek and rice bake),"400g leeks, trimmed and sliced into 5mm rounds (see Anna’s tip), 85g arborio rice, 2 medium free-range eggs, 100ml extra-virgin olive oil, 4 tbsp freshly grated parmesan or vegetarian alternative,  3 tbsp dried breadcrumbs",412,26.4,6.4,13.5,28.5,2.8,3.2,0.5,Italy
4,Italian sausage and porcini mushroom casserole,"30g dried porcini mushrooms, 1 tbsp olive oil, 8 good-quality venison sausages or British outdoor-reared pork sausages, 75g diced pancetta, 1 large onion, chopped, 4 garlic cloves, crushed, 3 fresh rosemary sprigs, leaves chopped, 1 tsp fennel seeds, lightly crushed, ½ tsp chilli flakes, 250g portobellini or brown mushrooms, thickly sliced, 125ml red wine, 1 tbsp tomato purée, 500ml passata, 150ml beef stock, 75g sun-dried tomatoes in oil, drained and sliced, 2 bay leaves, Handful fresh flatleaf parsley, chopped",471,27.6,7.5,31,17.2,14.9,3.5,1,Italy
5,Spicy sausage and lentil casserole,"1 tbsp olive oil, 8 Italian-style pork sausages (at least 70 per cent meat content), 1 large onion, chopped, 1 large carrot (about 200g), diced, 3 garlic cloves, crushed, 1 tsp chilli flakes, 2 tsp ground cumin seeds, 2 tsp paprika, 1 tbsp tomato purée, 100g red lentils, 600ml good quality chicken stock, 200g chopped tomatoes, 150g cooked or canned puy lentils, rinsed and drained, 3 tbsp chopped fresh flatleaf parsley",504,25.3,8.7,30.9,33.5,10,9.6,1.9,Italy
6,"Gnocchi with sun-dried tomato pesto, peas and pecorino","45g pine nuts, 1 tbsp extra-virgin olive oil, Bunch spring onions, sliced, 165g jar sun-dried tomato pesto (we used Belazu), 2 tbsp crème fraîche, 300g frozen peas, 500g fresh gnocchi, 3 large handfuls baby spinach, Small bunch fresh basil, torn, Lemon juice to taste, 50g pecorino, grated",585,31.3,7.8,18.7,52.9,6.5,8.4,2.3,Italy
7,Cheeseburger meatballs,"Olive oil for frying, 1 large red onion, chopped, 400g British beef mince, 300g British free-range pork mince, 1 tsp sweet smoked paprika, 1 tbsp chopped fresh flatleaf parsley, 100g mozzarella for cooking, cut into 12 equal chunks, 2 garlic cloves, chopped, 150ml red wine, Splash red wine vinegar, 2 x 400g cans chopped tomatoes, Pinch caster sugar, 2 brioche bread rolls, 75g cheddar, grated, 4 little gem lettuces, cut into quarters (or half if small), 1-2 large gherkins, chopped, 1 red onion, sliced into rings, soaked in cold water (see tip), 3 tbsp Maille mustard mayonnaise, 1 tbsp ketchup (we used reduced sugar), 1 tsp sweet mustard",548,34.9,13.4,33.4,18.6,11,3.7,0.9,Italy
8,Sausage and fennel pasta bake,"4 tsp olive oil, 1 onion, finely sliced, 1 large fennel bulb, finely sliced, 2 garlic cloves, crushed, 1 tbsp fennel seeds, bruised, Pinch chilli flakes, Small handful fresh flatleaf parsley, stalks and leaves chopped separately, 400g free-range sausages, 75g sun blush tomatoes, roughly chopped, 400g tin chopped tomatoes, 680g jar passata with basil, 300ml hot chicken stock, 500g rigatoni pasta, 125g mozzarella ball, torn, 35g breadcrumbs, 75g gruyère, grated",731,29.4,12.1,37.2,75.2,11,8,",2.4",Italy
9,Fettuccine alfredo,"300g dried fettucine, Splash olive oil, 100ml double cream, 100g parmesan (or vegetarian alternative), grated, plus extra to serve, 100g butter, Handful flatleaf parsley, roughly chopped",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
