,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Quick harissa lamb and red onions with herby quinoa,"2 tbsp olive oil, 2 red onions, cut into wedges, 500g lamb leg or neck fillet, cut into strips, 2 tbsp rose harissa (we like Belazu), Zest and juice of 1 lemon, 200ml chicken stock, 2 x 250g packs ready-to-eat quinoa, 2 tbsp extra-virgin olive oil, 3-4 roasted red peppers, sliced, 50g toasted pine nuts, Bunch of fresh coriander, roughly chopped",702,38.1,7.6,29,47.7,10.4,3.8,0.5,Morocco
1,Chana masala,"200g dried chickpeas (or 2 x 400g tins chickpeas, drained and rinsed) – dried chickpeas have a better taste and texture than tinned, 2 garlic cloves, crushed, Thumb-size piece fresh ginger, grated, 1 medium green chilli, finely chopped, 3-4 tbsp olive oil, 1 large onion, finely chopped, 1 tsp cumin seeds, 400g tin chopped tomatoes, 1 level tsp ground turmeric, ¼ tsp chilli powder, 1 tsp garam masala, ½ tsp ground coriander, ½ tsp ground cumin, Handful fresh coriander, chopped, Natural yogurt and lemon wedges to serve",591,23.8,3,28.1,63.7,15.3,4.6,0.2,Morocco
2,Zigni berbere (spicy chicken stew),"50ml vegetable oil, 2 large onions, chopped, 4 garlic cloves, crushed, 1kg British free-range skinless and boneless chicken thighs, cut into cubes, 2 x 400g tins plum tomatoes, 2 beef stock cubes, 1 tbsp tomato paste, 125ml dry red wine (optional), Bunch fresh coriander, roughly chopped, plus extra to serve, Lemon wedges to serve, Eritrean injera flatbreads (or regular flatbreads) or rice and a green salad to serve, 1 tsp each ground ginger, fenugreek and black pepper, ½ tsp ground coriander, ½ tsp ground cardamom, ¼ tsp ground cloves, ¼ tsp ground allspice, Pinch ground cinnamon, ½ tbsp fine sea salt, 1 tbsp mild paprika",332,12.3,2.4,38.3,11.2,9.5,4.1,3.1,Morocco
3,Basbousa (sweet semolina cake),"450g caster sugar, 2 tbsp lemon or orange juice , 110g butter, melted, plus extra for greasing, 280ml full-fat greek yogurt, 200g caster sugar, 240g semolina, 1 tbsp baking powder  , 28cm x 18cm cake tin at least 6cm deep, greased with butter and lined with non-stick baking paper",332,8.3,5.3,3.9,60.3,47.3,0.5,0.4,Morocco
4,Clementine and pomegranate cake,"4 clementines or satsumas, unpeeled, 1 cinnamon stick, oil, for greasing, 6 large eggs, 225g light muscovado sugar, 1 tsp gluten-free baking powder, 300g ground almonds, 1 pomegranate, halved, 25g light muscovado sugar, 1 tsp orange blossom extract, 1 tsp vanilla bean paste, 3 tbsp apricot jam to make a glaze, icing sugar, for dusting",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Morocco
5,Chicken basteeya,"125g unsalted butter, 8 British free-range chicken thighs, 2 onions, finely sliced, 5 garlic cloves, crushed, Large thumb-size piece fresh ginger, finely grated, ½ tsp ground turmeric, 2 tsp ground coriander, 1 tsp ground cumin, ½ tsp paprika (not smoked), 1 tsp ground cinnamon, plus extra, 100g blanched almonds, chopped, 2 tbsp icing sugar, plus extra, 50g sultanas, Zest 1 lemon and juice ½, 3 medium free-range eggs, beaten, Small bunch fresh flatleaf parsley, leaves roughly chopped, Small bunch fresh coriander, roughly chopped, 5-6 filo pastry sheets, 23cm loose-bottomed cake tin",410,25.9,10.3,24.1,19.1,11.1,2.3,0.4,Morocco
6,"Almond, pistachio and turkish delight m’hencha","7 sheets filo pastry, 75g unsalted butter, melted, for brushing, 250g unsalted butter, 200g icing sugar, plus extra to dust, 3 medium free-range eggs, ½ tsp sea salt flakes, 2-3 tsp orange blossom water, 2 tsp ground cinnamon, Finely grated zest 1 orange and 1 lemon, 300g ground almonds, 100g pistachios, roughly ground or finely chopped, plus extra to serve, 50g flaked almonds, 80g rose or lemon flavoured turkish delight, snipped into small pieces, 23cm round cake tin with removable base (see tips) and a large work surface",602,44.2,16.4,13.3,36.8,22.7,1.2,0.5,Morocco
7,Moroccan-spiced lamb steaks,"2 tbsp olive oil, 2 red onions, thinly sliced, 500g courgettes, sliced, 2 garlic cloves, crushed, 1-3 tbsp harissa paste to taste (we like Belazu), 2 x 400g tins chopped tomatoes, 2 x 400g tins chickpeas, drained and rinsed, 100g dried apricots, roughly chopped, 4 British free-range lamb steaks, about 100g each, Chopped fresh coriander to garnish",507,18.3,4.8,35.6,43.2,23.3,13.8,0.3,Morocco
8,Venison and parsnip tagine with buttered herb couscous,"Olive oil for frying, 1kg diced venison, 1 large onion, sliced, 2 garlic cloves, sliced, 1 large bunch fresh coriander, chopped, 1tsp ras el hanout (a Middle Eastern spice mix, widely available), ½ tsp ground cumin, ½ tsp ground ginger, ¼ tsp ground turmeric, 6 parsnips, chopped into chunks, 8 dried figs, peeled, quartered, 400g tin chopped tomatoes, 500ml fresh beef stock, plus extra to loosen, Pomegranate molasses to serve, 200g couscous, 260ml freshly boiled water, 60g unsalted butter, 1 tsp sea salt, Small bunch fresh mint, leaves picked, Small bunch each fresh coriander and leaves picked, stems very finely chopped",600,17.7,7.6,47.9,56.3,21.2,11.8,1.9,Morocco
9,Lamb and quince tagine with chermoula and buttered couscous,"3 tbsp olive oil, 1kg lean lamb shoulder or leg, cut into chunks, 2 onions, thinly sliced, 5cm fresh ginger, finely grated, 200g skinned chopped tomatoes, fresh or from a can, Small cinnamon stick, 1 tsp ground ginger, 4 tbsp clear honey, 1 small preserved lemon, flesh discarded (from the international section in large supermarkets) or 2 strips lemon zest, finely chopped, 750ml lamb or chicken stock, ¾ tsp salt, ½ tsp black pepper, 400g can chickpeas, drained, Pared zest and juice 1 lemon, ½ tsp black pepper, 1kg quinces (about 4 medium), 40g butter, plus an extra knob, 2 tbsp caster sugar, ¼ tsp ground cinnamon, 50g blanched almonds, toasted in a dry frying pan, then split in half, 3 garlic cloves, roughly chopped, 2 tsp ground cumin, 2 tsp ground coriander, 1½ tsp paprika, 1 tbsp harissa paste, Good pinch saffron strands, 2 tbsp lemon juice, 20g fresh coriander leaves, 20g fresh mint leaves, 4 tbsp olive oil, ½ tsp salt, 350g couscous, ½ tsp salt, 450ml boiling water, 25g butter, Finely grated zest 1 small lemon",707,30.3,10.4,38.1,67.6,23.2,5.6,1.6,Morocco
