,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Hasselback miso roasted vegetables,"1.1kg mixed root vegetables, trimmed and scrubbed, 2 tbsp light olive oil, 2 oranges, 3 tbsp white miso paste, 4 tbsp maple syrup, 1 tsp chilli flakes (optional), 3 star anise, 2 x 250g pouches cooked lentils (we used Merchant Gourmet beluga lentils, 50g toasted nuts, roughly chopped (we used pecans), 100g baby leaf spinach",544,15.5,2.4,21.6,69.8,30,18.9,0.5,vegan
1,Zuppa di ceci e farro (chickpea and farro soup),"800g dried chickpeas, 2-3 fresh sage sprigs , 4-5 fresh parsley sprigs , 2 fresh rosemary sprigs , 3 bay leaves, 6 garlic cloves, 200g farro, 100ml extra-virgin olive oil, 2 garlic cloves, sliced , 4 fresh rosemary sprigs, leaves stripped , 1 tsp chilli flakes",394,15.9,4.3,18.3,38.7,2.8,11.5,0.2,vegan
2,Spiced pumpkin soup,"1kg pumpkin or squash, cut into 4cm wedges and seeds removed, (see tip),  1 garlic bulb, halved horizontally, plus a couple of cloves to garnish,  1 banana shallot, roughly chopped,  1 red chilli, roughly chopped,  1 tsp ground coriander,  1 tsp ground cumin,  Small bunch fresh coriander, stalks and leaves (to garnish; optional) separated,  Olive oil to drizzle,  500ml fresh vegetable stock (or made with a gluten-free stock cube), 160ml tin coconut cream,  1 tbsp light olive oil,  1 red chilli, finely sliced,  1 banana shallot, finely  sliced,  Hollowed-out pumpkin to  serve the soup in (optional)",224,17.4,9.2,5.1,9.7,5,4.6,0.1,vegan
3,Vegan Turkish kebabs with chilli sweet potato mash and roasted veg,"2 sweet potatoes, peeled and cut into 2cm chunks, Oil for drizzling and brushing, 1 tbsp aleppo chilli flakes (see tips), plus extra to serve, 1 fennel bulb, cut into wedges , 4 banana shallots, peeled and halved lengthways, 1 tsp za’atar (see tips), ½ x 400g tin cannellini beans, drained and rinsed, 300g vegan mince (we used Ocado Meat Free Mince as it has a good texture for kebabs), 2 tbsp rapeseed oil, 2 banana shallots, chopped, 2 tsp baharat (see tips), ½ x 400g tin cannellini beans, drained and rinsed, Bunch fresh parsley, chopped, 4 tbsp tahini, 8 metal skewers (or wooden ones soaked in cold water for 30 minutes)",481,22.7,3.1,19.9,41,11.1,16.6,0.8,vegan
4,"Roast potatoes with polenta, balsamic and thyme","2kg maris piper potatoes, peeled and cut into large, even chunks, 1 tsp salt, 7 tbsp light olive oil, 3 tbsp polenta, Sea salt flakes, 2 tbsp balsamic vinegar, such as Mazzetti L’Originale, 8 unpeeled garlic cloves, lightly bashed with a rolling pin, 8-10 fresh thyme sprigs, leaves stripped, plus extra to serve",332,10.1,1.5,5.6,52,3.1,5.4,0.8,vegan
5,Mini Scandi crumble pies,"500g block shortcrust pastry (see tip; we used Jus-Rol), Plain flour to dust, Maple syrup to serve, Edible gold glitter/shimmer (from Sainsbury’s or Waitrose; optional), 125g mincemeat (see tip; we used Meridian Organic Mince Pie Filling, which is vegan), 100g tropical mix dried fruit, 3 tbsp cherry brandy (see tip),  50g marzipan (see tip), chopped, 15g pecan halves, toasted in a dry frying pan and chopped, ¼ tsp ground cinnamon, 50g marzipan (see tip), grated, 30g pecan halves, toasted in a dry frying pan and chopped, 20g rolled oats, 1 tsp demerara sugar, Pinch ground cinnamon, 4-5cm plain or fluted cutter, a 24-hole mini bun/muffin tray (we used KitchenCraft, from amazon.co.uk)",159,8.6,"2.6,",2,16.8,8.4,1,0.1,vegan
6,"Vegan miso mushroom, squash and chestnut wellington","1 butternut squash (about 800g), peeled and deseeded, Olive oil for drizzling and brushing, 600g portobellini or chestnut mushrooms, roughly chopped, 50g walnut halves, chopped, 180g bag vacuum-packed whole chestnuts, roughly chopped, Large handful fresh flatleaf parsley, stalks and leaves chopped separately, 3 fresh thyme sprigs, leaves picked, 2 tbsp miso paste (see Know-how), 4 fat garlic cloves, crushed, 3 soft pitted prunes, finely chopped, 3 tbsp madeira (check the label to make sure it’s vegan), 2 tbsp chopped chives, ¼ tsp soy sauce, plus a splash, 6 tbsp panko breadcrumbs, 500g block puff pastry (check the label to make sure it’s vegan – we used Jus-Rol), Plain flour for dusting, Sea salt flakes, Large pinch poppy seeds",605,30.9,11.4,13.5,62.2,11.4,8.1,1.7,vegan
7,Miso and maple aubergine ‘steak’ burger,"2 tbsp white miso paste (from Waitrose, Ocado and Amazon), 1 tbsp maple syrup, 1 tbsp dark soy sauce, 1 large aubergine, 2 medium onions, cut into wedges, 2 tbsp vegan mayonnaise, Grated zest and juice ½ lime, 1 tbsp sriracha sauce, 2 burger buns, split in half, Salad (we used an Asian herb/salad mix but you could use a combination of coriander and pea shoots) and a few salted peanuts (optional) to serve",440,17.2,1.8,10.6,55.6,21.9,10.3,3.3,vegan
8,Peanut sauce,"1 tbsp groundnut oil, 1 medium onion, finely chopped, ½ tbsp curry powder, ½ tbsp extra-hot chilli powder, 1 garlic clove, crushed, 5cm piece fresh ginger, grated , 1 red scotch bonnet chilli, pierced with a sharp knife, 3 tbsp roasted peanuts, crushed, 2 tsp sea salt flakes, crushed, 150ml fresh vegetable stock, 150g peanut butter, 400g tin chopped tomatoes, 2 tbsp tomato purée, 1 medium onion, roughly chopped, 5cm piece fresh ginger, grated, 1 red scotch bonnet chilli, deseeded, 1 tbsp chilli flakes (see tip), 1 tsp crushed sea salt, Blender or food processor",203,14.3,3.2,8.1,8.6,6.1,3.9,2.4,vegan
9,Koose black-eyed bean fritters with scotch bonnet salsa,"250g dried black-eyed beans, 1 tbsp cornflour, plus extra to dust (see Zoe’s tip), 2 tsp cayenne pepper, 1 tsp sea salt, 1 tbsp rapeseed oil, ½ red onion, very finely chopped, 2 fresh red chillies, very finely sliced, 4 fingers fresh okra, very finely chopped, 500ml vegetable oil to deep fry, 500g mixed heritage tomatoes, thinly sliced or quartered if small, 1 medium red onion, finely chopped, 1 scotch bonnet chilli, deseeded and finely diced, Handful fresh coriander, chopped, 1/2 tsp cayenne pepper, Juice 1 lemon, plus extra slices to garnish, Digital probe thermometer",269,10.4,0.9,11.1,29.6,5.9,6.5,0.9,vegan
