,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Freezer-friendly chicken and spinach tikka masala,"1 tbsp sunflower oil, 4 frozen free-range chicken breasts, defrosted and cut into 3cm chunks, 100g frozen chopped onion, 2 garlic cloves, crushed, 2 tsp frozen grated ginger (from most large supermarkets), Large bunch fresh coriander, leaves picked, stalks chopped and kept separate, 1 tsp ground cumin, 100g chicken tikka curry paste, 400g can chopped tomatoes, 350g frozen spinach, defrosted and squeezed dry in a sieve, 3 tbsp single cream, Basmati rice or naan bread to serve",360,14,2.6,44.7,10.3,8.4,5.9,0.4,India
1,"Aromatic egg, spinach and potato curry","⅓ quantity fragrant curry sauce (430ml), 200g baby new potatoes, quartered, 2 large free-range eggs, Large handful baby leaf spinach, 1 spring onion, finely sliced, Small handful coriander, chopped, 1 red chilli, finely sliced, Steamed basmati rice to serve",577,43.9,31.4,15.2,28.1,8.7,4.3,0.4,India
2,Fragrant curry sauce,"1 tbsp vegetable oil, 5 shallots, roughly chopped, 5 garlic cloves, roughly chopped, 2 tbsp freshly grated ginger, 1½ tbsp curry powder, 3 red chillies, roughly chopped (deseeded, if you prefer less heat), 1 tbsp galangal paste (see Know-how), 2 x 400ml tins coconut milk, 1 large lemongrass stalk, bruised, 1 large cinnamon stick, 250ml vegetable stock (check it’s gluten-free, if you need it to be), Juice 2 limes, 2 tbsp tamarind paste (from most supermarkets; see Know-how), Mini-chopper or blender",269,24.9,19.7,2.5,8.1,4.7,1.4,0.1,India
3,Spicy salmon and aubergine curry,"1 tbsp oil , 1 sliced aubergine, 1 chopped onion , 3 tbsp gochujang (see Know-how),  2 crushed garlic cloves , 200ml coconut milk, 200ml veg stock, 2 sustainable skinless salmon fillets, ½ tsp toasted sesame seeds, 2 chopped spring onions, A few fresh coriander sprigs, Steamed rice, to serve",625,42.8,18.8,29.5,26.4,13.3,8,1.1,India
4,Easy Bengali fish curry,"1 onion, roughly chopped, 2 garlic cloves, roughly chopped, 2cm piece fresh ginger, roughly chopped, 1 red chilli, deseeded (leave the seeds in if you like it hot) and roughly chopped, Bunch fresh coriander, leaves and stems chopped separately, a few leaves left whole to garnish, 1 tbsp olive oil or ghee, 12 dried curry leaves, 1 tsp panch phoran (see Know-how) or black mustard seeds, 2 tsp mild curry powder, ½ tsp ground turmeric, 1 tsp ground coriander, 1 tsp ground cumin, 400g tin chopped tomatoes, 2 tbsp tamarind paste, 500g skinless boneless firm white sustainable fish (such as ling, cod or haddock), chopped into bite-size pieces, Steamed basmati rice, dosas or naan bread and chutneys to serve, Food processor or blender",195,4.9,0.8,24.5,11.6,8.1,3.3,0.4,India
5,Potato and paneer curry,"2 tbsp vegetable oil, 226g pack paneer, cut into 2cm cubes, 1 large onion, chopped, 750g baby potatoes, cut into 2-3cm chunks, ½ x 283g jar bhuna curry paste, 500g carton passata, 1 vegetable stock pot (we used Knorr), 200g frozen peas, 20g coriander, chopped, Juice 1 lime, Natural yogurt and naan to serve",569,28.6,9.7,25.5,47.6,14.6,9.6,3,India
6,Chickpea dhal with naan bread crisps,"Ghee, 1 chopped onion, 1 crushed garlic clove,  1½ tsp curry powder, 300ml vegetable stock or water, 400g tin of drained and rinsed chickpeas, reserving 2 tbsp, 300g naan bread, Vegetable oil, Pinch of chilli powder, Fresh coriander leaves and natural yogurt, to serve",368,14.8,4.6,10.5,45.8,3.6,4.9,0.6,India
7,Kashmiri lamb meatballs with prunes,"1 tbsp fennel seeds, finely ground in a pestle and mortar, 6 green cardamom pods, seeds removed and finely crushed, 3 black cardamom pods, seeds removed and finely crushed, 1 tbsp ground cumin, ½ tsp ground ginger, ¼ tsp ground cinnamon, ½ tbsp kashmiri chilli powder or hot (unsmoked) paprika, 500g British organic lamb mince, 1 medium free-range egg, beaten, 10 pitted prunes, 2 tbsp vegetable oil, 1 cinnamon stick, broken in half, 2 dried bay leaves, 3 green cardamom pods, ¼ tsp ground asafoetida (optional; see Know-how), ¾ tbsp kashmiri chilli powder or hot (unsmoked) paprika, 2 tbsp fennel seeds, finely ground in a pestle and mortar, 1 tbsp ground cumin, ½ tsp ground ginger, ¼ tsp ground cinnamon, 2 tbsp tamarind paste or lime juice to taste (see Know-how), Plain yogurt, fresh coriander and basmati rice to serve",433,31,6.7,25.9,11.15,4.7,3.4,0.7,India
8,Spiced onion fritters with poached eggs,"350g waxy potatoes (such as charlotte), peeled and coarsely grated, 250g sweet potatoes, peeled and coarsely grated, 2 red onions, thinly sliced, 2 tsp salt, 150g gram (chickpea) flour, from large supermarkets and Asian grocers; we used East End, 8 large free-range eggs, 5 tbsp milk, 1 tsp nigella seeds, plus extra to serve, ½ tsp ground cumin, ½ tsp ground coriander, 1 tbsp mango chutney, plus extra to serve, ¼ tsp celery salt, 90g samphire (if you can’t get hold of this add the same quantity of sweet potato), Small handful fresh coriander, stalks and leaves chopped separately, Vegetable oil for frying, Natural yogurt to serve, Non-stick, heavy-based 20cm frying pan",417,18.2,3.4,20.7,39,8.2,7.2,2.8,India
9,South Indian-style fish curry,"Glug groundnut or olive oil, 1 tbsp black mustard seeds, 12 freeze-dried curry leaves, 1 onion, finely sliced or grated, 2 tsp grated ginger, 2 fat garlic cloves, crushed, 1 red chilli, chopped, 2 tsp ground turmeric, 1 tsp ground coriander, 1 tsp ground cumin, Pinch chilli flakes (optional), 400g vine tomatoes, chopped, 250ml pack coconut cream (we used Blue Dragon), 1 lime, halved, plus extra wedges to serve, 400-500g skinless pollack fillet, cut into 3cm chunks, Fresh coriander leaves to garnish, Steamed rice or warmed naan bread to serve",291,19.4,10.6,20.2,7.6,5.3,2.5,0.2,India
