,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Smoky cod and butter bean filo pie,"60g cooking chorizo, diced, 1 red onion, finely chopped, 2 garlic cloves, finely chopped, 1 tbsp sweet smoked paprika, 2 x 400g tins chopped tomatoes, 3 fresh thyme sprigs, 2 x 400g tins butter beans, drained and rinsed, 4 x 120g sustainable cod fillets, skinless, cut into 3cm chunks, 4 sheets filo pastry (we used Jus-Rol), halved, 2 tbsp olive oil for brushing, 300g steamed tenderstem broccoli to serve",495,10.8,2.8,41.3,50.9,13.2,14.7,1.2,Spain
1,Almond salmorejo soup,"100g blanched almonds,  600g ripe tomatoes,  100g good-quality white bread, crusts removed, torn into chunks,  1 garlic clove, finely chopped,  150ml extra-virgin olive oil, plus extra to serve,  300ml iced water,  2 tbsp sherry vinegar,  3 medium free-range eggs,  100g jamón ibérico (see Know-how), sliced/chopped,  Chopped flatleaf parsley to serve, Food processor or blender",408,32.8,4.8,15.5,12,4.2,1.6,1.2,Spain
2,Valencian seafood noodle paella,"3 tbsp olive oil, ½ large Spanish onion, chopped , 1 green pepper, chopped, 150g prepared squid, chopped into 1cm pieces (see delicious. Kitchen for a guide to squid prep), ¼-½ tsp saffron, toasted in a dry pan, 1 tsp smoked sweet pimentos (see Know-how), 1 tsp smoked hot pimenton (see Know-how), 2 large fresh tomatoes on the vine, finely chopped, 1 fat garlic clove, crushed, 100g frozen peas, 2 fresh bay leaves, 3 fresh thyme sprigs, 650ml chicken stock, 500g fideu pasta (see tip), 200g sustainable peeled raw tiger prawns (we used frozen Big & Juicy prawns,  from Waitrose), 200g vac-packed cooked Scottish musses, in the shells if possible, drained, Lemon wedges for squeezing, 34-36cm paella pan or large shallow casserole",441,8.4,1.4,24.6,63.6,4.8,6.3,0.8,Spain
3,"Black rice paella with artichokes, peppers and spinach","3 tbsp olive oil, plus a splash, ½ large Spanish onion, chopped , 160g runner beans, sliced, ¼-½ tsp saffron, toasted in a dry pan, 1 tsp smoked sweet pimentón (see Know-how), ¼ smoked hot pimentón (see Know-how), 2 large fresh tomatoes on the vine, chopped, 2 fat garlic cloves, chopped, 175g marinated artichokes in oil, 650-700ml vegetable stock (if you’re vegan, check the stock is vegan), 250g black venus rice (we used Gallo), soaked in cold water for 30 minutes, then drained, 2 fresh bay leaves, 1 bushy rosemary sprig, 130g pack pardon peppers, 1 large green or yellow courgette, peeled into ribbons, 115g bag baby leaf spinach, 1 tbsp extra-virgin olive oil, Splash sherry vinegar, 32-34cm paella pan or large shallow casserole, or 3 smaller paella pans to serve 1-2 people each",317,14.7,2.2,5.8,36.5,5.1,7.9,0.6,Spain
4,Chicken paella with squid and beans,"4 tbsp olive oil, 6 skin-on free-range chicken thighs, boned and cut in half, ½ large Spanish onion, chopped, 280g flat or runner beans (we used held beans), chopped, 150g prepared squid, chopped into 1cm pieces (see our guide on how to prepare squid), ¼-½ tsp saffron, toasted in a dry pan, 1 tsp smoked sweet pimentón (see Know-how), 1 tbsp smoked hot pimentón (see Know-how), 2 large fresh tomatoes on the vine, finely chopped, 1 fat garlic clove, crushed, 750ml chicken stock, 250g paella rice (we used calasparra; see tip), 2 fresh bay leaves, 1 bushy rosemary sprig, Small handful of parsley, chopped (optional), Lemon wedges for squeezing, 34-36cm paella pan or large shallow casserole",374,12.9,2.6,25.1,38.1,3.5,2.7,1.4,Spain
5,Chilli chocolate churros,"200ml boiling water, 25g butter, 1 tbsp caster sugar, ½ tsp fine salt, 125g plain flour, 1 medium free-range egg, 1 litre vegetable oil for frying, 50g caster sugar, ½ tsp cinnamon, ½ tsp chilli powder, 100g dark chocolate, chopped, 150ml double cream, 1 tbsp golden syrup, Piping bag with a large star nozzle",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
6,Spanish-style cod and chickpea stew,"100g diced chorizo,  1 sliced onion, 2 sliced garlic cloves,  1 tsp smoked paprika, 1 tbsp tomato purée, 250ml vegetable stock, 400g tin of drained and rinsed chickpeas, 2 sliced roasted red peppers from a jar, 500g cod loin, Chopped fresh flatleaf parsley, Crusty bread or rice, to serve",313,12.1,3.4,33.4,14.5,3.3,6.1,1.2,Spain
7,José Pizarro’s strawberry gazpacho,"300g vine-ripened tomatoes, chopped, 700g ripe strawberries, hulled and chopped, with a few reserved for garnish, 1 roasted red pepper from a jar, sliced, 1 small shallot, finely chopped, 1 small garlic clove, crushed, 1 tbsp sherry vinegar, 75ml extra-virgin olive oil, plus extra for drizzling, Olive oil for frying, 2 slices sourdough, cut into cubes, Basil leaves to garnish",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
8,José Pizarro’s asparagus tortilla,"Extra-virgin olive oil for frying, 1 onion, finely sliced, 3 garlic cloves, finely chopped, 2 bunches (250g) wild or farmed asparagus, chopped into small chunks, 4 free-range eggs",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
9,Paprika-roast chicken with potatoes and peppers,"1.6kg free-range chicken, 1 lemon, halved, Good quality olive oil, 2 tsp smoked paprika, 800g large floury potatoes, such as maris piper, unpeeled, 2 large onions, peeled, 3 red peppers, 200g chorizo, Chilli flakes (optional), Handful fresh flatleaf parsley, finely chopped",795,30.3,9.2,75.6,49.9,12.3,10.2,2.3,Spain
