,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Manchego and soured cream crusted pumpkin,"1 large (1.5kg) pumpkin or squash, peeled and sliced into wedges, Olive oil for drizzling, Small bunch fresh oregano, finely chopped (or 1 tbsp dried oregano), 100ml soured cream, 200g full-fat cream cheese, 1 garlic clove, crushed, Finely grated zest 1 lemon, 2 free-range egg yolks, 1 tsp dried chilli flakes, 50g fresh breadcrumbs, 30g parmesan (or vegetarian alternative), grated, 60g manchego, grated (Tesco sells a vegetarian version; or use a cheese such as berkswell)",209,14.6,9,7.8,10,4.6,2.9,0.6,Spain
1,"Chorizo, cannellini and sage orecchiette with breadcrumbs","250g cooking chorizo (mild or hot), cut into small cubes, 2 x 400g tins cannellini beans, drained and rinsed, patted dry, Olive oil for drizzling, Bunch fresh sage, leaves picked, 4 tbsp dried breadcrumbs, 300g orecchiette, Extra-virgin olive oil, Zest and juice 1 lemon, Grated parmesan to serve",803,31.4,9.1,35.7,87.8,3.1,13.3,2.3 salt,Spain
2,Pea and bacon frittata,"Olive oil for frying, 1 onion, finely sliced, 3 British free-range unsmoked streaky bacon rashers, roughly chopped, 2 garlic cloves, crushed, 10 free-range eggs, beaten, 300ml milk, ½ bunch spring onions, roughly chopped, 300g frozen peas, defrosted, 30g cheddar, grated",430,26.9,8,29.3,14.9,10.4,5.1,1.3,Spain
3,Aubergine fries with balsamic drizzle,"3 medium aubergines, trimmed and sliced into 1cm thick batons, 1 tbsp salt, 1 medium free-range egg, 250ml iced water, 90g plain flour, ½ tsp baking powder,  1 litre sunflower oil for deep-frying, Balsamic glaze to serve, Digital probe thermometer",232,16.4,2.2,4.1,14.9,2.9,4.6,2.6,Spain
4,"Pan-fried figs, serrano ham, cream cheese and walnuts on toast","100g cream cheese, 50g walnuts, 4 slices bread, such as sourdough or rustic, toasted, 4 figs (see food team’s tips), Extra virgin olive oil, 1 tbsp brown sugar, a splash of sherry vinegar, a pinch of rock salt, 4 thin slices of serrano ham",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
5,Chilled almond soup with caperberry migas,"60g crustless, day-old white bread, torn into rough pieces, 275g blanched whole almonds, 1 garlic clove, chopped, 180ml extra-virgin olive oil, 3 tbsp sherry vinegar, or to taste, 100g seedless white grapes, halved, 2 tbsp olive oil, plus extra to serve, 25g caperberries, 30g panko or dried breadcrumbs, 1 small garlic clove, finely chopped, Finely grated zest ½ lemon",576,51.7,5.8,13.4,14,4.9,0.6,0.2,Spain
6,Bloody Mary gazpacho with fresh oysters,"1.3kg vine tomatoes, plus extra, finely diced, to garnish, 250g cucumber, peeled and chopped, plus extra to garnish, 2 celery sticks, strings removed, roughly chopped, plus celery leaves to garnish, 1 red pepper, finely sliced, 1 green pepper, finely sliced, 4 garlic cloves, crushed, 150g quality bread, torn, soaked in water for 10-15 minutes until very soft, then drained and water squeezed out, 2 tbsp sherry vinegar, 120ml extra-virgin olive oil, plus extra to drizzle, 300ml vodka, Tabasco and Worcestershire sauce, to taste (we used nearly 1 tbsp of each), Celery salt and lemon wedges to season and garnish, 12 freshly shucked oysters to serve",375,16.1,2.2,6.7,21,9.6,4.5,0.6,Spain
7,Green gazpacho,"2 large cucumbers, peeled and roughly chopped, 2 celery sticks, chopped, 1 large green apple, chopped, 2 spring onions, cut into quarters, Juice 1-2 limes to taste, 2 small avocados (about 250g), peeled and cubed, 1 tbsp vegetarian Worcestershire sauce (such as Biona, from good delis and health food shops), Tabasco and lemon juice to taste, 1 cucumber, Juice 1 lime, Edible flowers such as borage, or small fresh mint leaves",189,13.8,2.6,3.9,9.7,8.7,5.2,0.2,Spain
8,Garlic and oloroso clams,"1kg clams, 3 medium vine tomatoes, 3 tbsp olive oil, plus a drizzle to serve, 2 shallots, finely chopped, 3 garlic cloves, crushed, 300ml dry oloroso sherry, plus extra to serve, Large bunch fresh flatleaf parsley, roughly chopped, Crusty bread to serve",515,18.4,2.9,29.5,21.5,13.8,3,5.6,Spain
9,Salt hake fritters with orange alioli,"250g rock salt, 5 fresh thyme sprigs, roughly chopped, 4 garlic cloves, chopped, 600g fresh hake, skin on, 100g rock salt, 1 large maris piper potato (about 400g), pricked several times with a fork, Salt hake – see above, well rinsed (or see tip), 550ml whole milk, 3 garlic cloves, crushed, 1 bay leaf, Large fresh rosemary sprig, 40g cold unsalted butter, diced, 50g plain flour, sifted, 2 medium free-range eggs, beaten, 1 tbsp orange juice, 2 litres sunflower oil for frying, For the orange alioli, 100ml freshly squeezed orange juice, 125g good quality alioli (garlic mayonnaise), A deep-fat fryer or digital probe thermometer",181,12.4,2.3,9.8,7.3,0.9,0.7,1.8,Spain
