,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Focaccia pugliese with fresh tomatoes,"2 medium (about 350g) fluffy potatoes, such as maris piper or king edward, peeled and cut into 3-4cm chunks, 800g plain flour, 1 tbsp fine sea salt, 7g fast-action dried yeast, 1 tsp caster sugar, 4 tbsp extra-virgin olive oil, plus extra to drizzle, 600ml lukewarm water, 1 tsp sea salt flakes, 250g mixed heritage tomatoes, sliced 0.5cm thick, Deep 30cm x 40cm baking tray, greased with olive oil, the base lined with non stick baking paper",317,5.6,1,7.6,57.4,1.2,3.5,0.8,Italy
1,Crab linguine,"225g ’00’ flour (Italian-style flour, from the baking section of large supermarkets), plus extra to dust, ¼ tsp salt, 2 medium free-range eggs, plus 3 medium free-range egg yolks, Semolina for dusting, Olive oil for frying, 1 garlic clove, finely grated, 1 red chilli, deseeded and finely chopped, Grated zest and juice 1-2 lemons, 200g picked white crabmeat, 2 tbsp fresh flatleaf parsley, finely chopped, plus extra to sprinkle, Extra-virgin olive oil to drizzle, Pasta machine with a linguine or tagliatelle attachment (see tip)",196,6.8,1.5,11.1,21.9,0.4,1.4,0.4,Italy
2,Baked ‘nduja and burrata dip with olive breadsticks,"90g ’nduja (see Know-how), Finely grated zest 1 orange, 460g jar roasted red peppers, drained, Olive oil to drizzle and grease, 3 garlic cloves, finely sliced, 4 spring onions, finely sliced, 50g pecorino, 100g burrata, Small handful chopped fresh flatleaf parsley to serve, 500g strong white bread flour, plus extra for dusting, 2 tsp fine sea salt, 1 tsp caster sugar, 10g fast-action dried yeast, 4 tbsp olive oil, 300ml lukewarm water, 75g green nocellara olives, pitted and finely chopped, Uncooked polenta for rolling, Sea salt flakes to sprinkle, Stand mixer with dough hook attachment, 2 large baking sheets; food processor",437,19,6.1,15.1,50.1,2.8,3.2,2.6,Italy
3,Affogato parfait,"300ml double cream, 150ml whole milk, 6 large free-range egg yolks, plus 1 white, 60g caster sugar, 4 tbsp espresso coffee powder, 500ml good quality vanilla ice cream (we like Häagen-Dazs) , 12 amaretti biscuits, 2 tbsp rum (see tip), 2lb/900g loaf tin lined with cling film overhanging the edges of the tin; electric mixer",378,27.1,13.1,7.3,23.8,23.4,1.4,0.1,Italy
4,Herby gooseberry focaccia,"500g strong white bread flour, plus extra to dust, 1 tbsp sea salt, 7g sachet dried yeast, 1 tsp caster sugar, 6 tbsp extra-virgin olive oil, plus extra to drizzle, A few sprigs each fresh rosemary, sage and thyme, ½ garlic bulb, broken into cloves (unpeeled), 175g fresh gooseberries (see tip), Mature cheddar or other hard cheese, or sliced cured meat to serve (optional), Large baking tray or roasting tray (about 25cm x 35cm), lightly greased with oil; pestle and mortar",388,18.9,7.8,14.3,39.1,1.2,2.4,2,Italy
5,"Roast pepper, anchovy and ricotta pizza","3 thickly sliced mixed sweet peppers, 1 tbsp olive oil, Flour, for dusting, 2 x 220g defrosted pizza dough balls (we like Northern Dough Co, from Sainsbury’s, Waitrose, Ocado, Booths and Wholefoods), 250g ricotta, 12 anchovy fillets, 2-3 tbsp capers, 25g parmesan, Fresh basil, to serve",288,9.9,4.4,13.4,35.5,4.7,1.8,1.6,Italy
6,Chorizo and ricotta penne,"300g penne pasta, 200g cooking chorizo, sausages squeezed out of the skins (we used Unearthed, from Waitrose), 1 small bunch fresh basil, 60g rocket, 175g ricotta, 2 tbsp olive oil",587,27.7,9.9,26,56.2,2.9,4.5,1.9,Italy
7,Negroni punch,"2 sliced oranges, 4 tbsp caster sugar, 150ml dry gin, 250ml Campari, 250ml sweet (red) vermouth, 1.5 litres chilled soda water (or 750ml soda water and 750ml prosecco)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
8,Lighter caponata,"2 aubergines, quartered lengthways, 1 medium red onion, finely sliced, 1 celery stick, cut into 1cm chunks, Cooking oil spray, 6 plum tomatoes, roughly chopped (or use a 400g can of chopped tomatoes), 2 garlic cloves, crushed, 3 tbsp olive oil, 1 tbsp red wine vinegar, 1 tsp dried marjoram or oregano, 80g large pitted green olives (we used gordal, in a cumin and lemon dressing), sliced, 2 tbsp capers, drained, 20g golden raisins, 20g fresh basil, leaves picked and roughly torn, 1 tbsp pine nuts, lightly toasted in a dry pan (optional)",248,18.6,2.6,3.8,13.1,11.7,6.6,1.2,Italy
9,Aperol spritz,"750ml bottle of prosecco, Bag of ice, Bottle of Aperol, Bottle of soda water, Slice of orange",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
10,Classic negroni cocktail,"Handful ice cubes, 40ml gin, 40ml Campari, 40ml sweet red vermouth (such as Martini Rosso), Orange slice",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
11,Poached peaches with zabaglione,"4 ripe peaches, 350g caster sugar, 1 vanilla pod, split lengthways, Juice 1/2 lemon, 4 large free-range egg yolks, 50g caster sugar, 120ml sweet marsala wine (see Jamie’s tip)",260,5.8,1.6,4.5,37.8,37.8,3,trace,Italy
12,"Chicken with grilled peaches, pistachio mayonnaise and sweet and sour peppers","2 firm but ripe peaches, sliced, 1 tbsp dried oregano, 60g plain flour, 1 tsp sea salt flakes, Finely grated zest and juice 1 lemon, 1/2 tsp freshly ground black pepper, 4 British free-range skinless, boneless chicken breasts, 8 tbsp extra-virgin olive oil, 2 garlic cloves, whole, peeled, 200ml dry white wine, 2 free-range egg yolks, 1 tsp mustard, 1 tsp white wine vinegar, 200ml vegetable oil, 50g unsalted pistachios, whizzed to a powder in a food processor, Juice 1/2 lemon, 4 tbsp extra-virgin olive oil, 1 large onion, finely chopped, 2 each large red, yellow and green peppers, cored, deseeded and cut into thin strips (6 in total), 2 tbsp white wine or cider vinegar, 1 tsp sea salt flakes, Handful fresh sage leaves, sliced",728,54.1,6.3,30.3,20,11.4,6.5,1.9,Italy
13,Mini sweet lasagnes,"125g dried lasagne pasta sheets made with egg, 500g ripe vine tomatoes, bottoms scored with a cross (see tip), 150g brown sugar, 1 tsp ground cinnamon, 1 tbsp lemon juice (use the zest in the sweet béchamel sauce, below), 600ml whole milk, plus extra for topping up, 1 vanilla pod, split, Finely grated zest 1 lemon, 50g unsalted butter, plus extra for greasing, 50g plain flour, 1 tbsp brown sugar, 1 tsp freshly grated nutmeg, 50g white chocolate, shaved into small curls using a vegetable peeler, Small bunch fresh mint leaves, Iced water, 6 x 200ml ramekins",736,16.1,9.4,17.2,127.4,39.1,6.1,0.2,Italy
14,"Venere nero rice with chicory, tuna and orange cream","500g venere nero (black venus) rice (see Know-how), 8 tbsp extra-virgin olive oil, plus extra to drizzle, 2 shallots, finely chopped, 300g top-quality tinned tuna in olive oil, drained, 400g tin cannellini beans, drained and rinsed, 2 tsp fennel seeds, 2 tbsp white wine vinegar, 1 tbsp mascarpone, 10 capers, drained and rinsed, 6 black peppercorns, crushed, Juice 2 oranges, 2 heads chicory, roughly chopped, Small handful fresh coriander leaves, 1 tsp whole pink peppercorns",615,23.8,4.1,23.523.5,73.5,5.3,6.3,0.4,Italy
15,"Gnocchi with roasted hazelnuts, garlic and anchovy cream","175g plain flour, 400g leftover mash, at room temperature, 1 free-range egg yolk, beaten, 30g butter, 1 tbsp light olive oil, 3 garlic cloves, crushed, 4-6 anchovy fillets, roughly chopped, 100ml single cream, 30g parmesan, shaved with a vegetable peeler, 2 handfuls rocket leaves, 2 tsp shelled hazelnuts, toasted in a pan and roughly chopped",626,31.7,16,16.2,66.6,2.6,4.8,1,Italy
