,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Chicken piri-piri,"1 small red pepper, 50ml olive oil, 4 red chillies, 4 garlic cloves, crushed, 2 tsp dried oregano or chopped fresh oregano leaves, 1/2 tsp chilli flakes, 2 tbsp red wine vinegar, Juice 2 lemons, 1/2 tsp caster sugar, 1/2 tsp sea salt flakes, 6 free-range, skin-on, bone-in chicken legs (drumsticks and thighs attached)",199,11.2,2.3,22,2,1.8,1.4,0.7,Spain
1,"Nectarine, cured ham and mozzarella baguette","1 long baguette, Butter, 2-3 ripe nectarines, 2 x 12g buffalo mozzarella balls, 60g cured spanish ham or parma ham slices, A couple of handfuls of rocket, Fresh mint and basil leaves",545,20.8,12.2,26.1,60.3,9.3,4.7,3,Spain
2,Baked spinach and pea frittata,"1 medium onion, 1 tbsp oil (vegetable or olive oil), plus extra for greasing, 100g frozen peas, 80g mature cheddar, 8 medium free-range eggs (see tip), 200g frozen spinach, defrosted, Finely grated zest and juice 1 lemon, 1 tsp chilli flakes (optional)",325,23.9,8.5,23.7,5.4,2.7,3.4,1,Spain
3,Garlic and white bean stew with gremolata,"20 garlic cloves (about 2 bulbs), unpeeled, 300ml boiling water, 25g salted butter, 2 celery sticks, finely sliced, 2 fresh thyme sprigs, 200ml dry white wine, 400g tin cannellini beans, drained and rinsed, 400g tin butter beans, drained and rinsed, 2 fresh bay leaves, 250g fresh vegetable stock, 75g baby spinach, 3 tbsp crème fraîche, 2 tbsp roughly chopped fresh flatleaf parsley, 1 garlic clove, crushed, Finely grated zest and juice of 2 lemons",246,10.7,6.5,10,19.4,3.2,9.8,1.9,Spain
4,Raymond Blanc’s new potato and chorizo tortilla,"400g Jersey Royal potatoes, quartered, 1 onion, diced, 1 garlic clove, finely chopped, 3 tbsp olive oil, 2 bay leaves, 1 thyme sprig, 1 rosemary sprig, Pinch Espelette pepper or smoked paprika, Pinch sea salt, 120g chorizo, cut into small dice, 15g flat-leaf parsley, finely chopped, 80g spinach, chopped, 8 eggs, whisked",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
5,Spinach and orzo pilaf with paprika prawns,"2 tbsp olive oil, 1 sliced leek, 2 chopped garlic cloves, 350g orzo, 650ml fresh chicken stock, ½ lemon, zested and juiced, plus extra to serve, 250g spinach, washed and roughly chopped, 150g raw peeled prawns, 1 tbsp sweet smoked paprika, 2 tbsp chopped fresh mint, plus extra to serve",430,8.4,1.4,23.1,66.3,3.4,6.2,1.7,Spain
6,"Pork shoulder and chorizo stew with sherry, crackling and capers","Olive oil for frying, 1 large fennel bulb, root removed, thickly sliced, 1kg carrots, thickly sliced, 3 garlic cloves, roughly chopped, 2kg British free-range pork shoulder joint, 2 tbsp plain flour, 200g cooking chorizo, chopped , 400ml light dry sherry, such as fino, plus an extra splash to taste, 1 litre good quality chicken stock, 5 fresh thyme sprigs, 400g tin chickpeas, drained and rinsed, 2 tbsp salt, 1 tbsp olive oil, 40g capers, drained, Large handful fresh parsley, roughly chopped, Crusty bread",583,21.8,6.8,65.5,17.7,8.8,9.2,2.8,Spain
7,Pickled pepper and sherry croquetas,"3 tbsp olive oil, 1 shallot, finely chopped, 100g pickled guindilla peppers, drained and finely sliced (see know-how), 110g plain flour, plus extra to dust, 60ml vegetable stock, 280ml whole milk, Pinch freshly grated nutmeg, 40ml dry sherry, such as fino, 2 medium free-range eggs, beaten, 60g fresh breadcrumbs, 2 litres sunflower oil for deep-frying, Digital probe thermometer",96,6.4,1.2,2.3,7 carbs,0.9,0.1,0.1,Spain
8,Crispy chorizo sausage rolls,"6 spicy cooking chorizo sausages, roughly 50g each, 10 sheets brique pastry (or you can use filo – see know-how), 1 tbsp plain flour mixed with 1½ tbsp water to form a paste, Olive oil for brushing",46,2.7,0.9,2,3.5,0.3,nil,0.1,Spain
9,Herby potato and ham hock tortilla,"2 tbsp The Co-operative basil infused olive oil (or similar), plus extra to drizzle , 200g The Co-operative parmentier potatoes (or similar), 50g The Co-operative British shredded ham hock (or similar), 1 onion, 5 large free-range eggs, Handful fresh parsley leaves, Handful fresh basil leaves",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
