,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Easy Mexican chicken traybake,"2 red onions, cut into wedges, 4 free-range chicken legs, or 1kg free-range chicken thighs and drumsticks, 2-3 tbsp Mexican or fajita spice mix, 2 tbsp olive oil, plus extra for drizzling, 400g tin red kidney beans, drained and rinsed, 200g roasted red peppers from a jar, halved, or frozen sliced mixed peppers, 1 flour tortilla, cut into 1.5cm strips, 75g lancashire cheese or feta, crumbled, A few fresh coriander sprigs to serve (optional)",508,16.9,7.2,57.2,28.3,7.7,7.2,2,Mexico
1,Mexican black bean nachos,"2 tbsp olive oil, 1 red onion, finely chopped, 1 red pepper, sliced, 197g tin sweetcorn, drained and patted dry on kitchen paper, Large handful coriander, stalks and leaves chopped separately, 3 garlic cloves, crushed, 2 tbsp Mexican spice mix or fajita seasoning, 400ml passata, 250ml vegetable stock, 400g tin black beans, rinsed and drained, 185g tortilla chips (we used Manomasa White Cheddar chips from Asda, Booths, Sainsbury’s and good delis), 100g mature cheddar, grated, 2 ripe avocados, chopped, Juice 1 lime, plus wedges to serve, 2 green chillies, thinly sliced to serve (optional), Soured cream to serve",479,28.7,7.4,12.6,37.3,9,10.6,1.4,Mexico
2,"Sweet potato, red pepper and turkey enchiladas","1 large sweet potato, peeled and cut into 1.5cm cubes, Olive oil for drizzling, 6 small corn tortilla wraps, 350g cooked turkey or chicken (breast or thigh), 2 roasted red peppers from a jar, cut into slices (we like Karyatis), 75g mature cheddar, grated, 75g cherry tomatoes, cut into wedges, 2 tbsp chipotle paste, Finely grated zest and juice 1 lime4 tbsp soured cream, Handful fresh coriander leaves to garnish",527cals,21.5,9.3,14.4,66.2,9.8,5.2,1.72,Mexico
3,Breakfast burrito,"4 small free-range eggs, 8 rashers of smoked streaky bacon, 1 tbsp light olive oil, 1 red onion, finely chopped, 200g passata, 40g ketchup, 1 tsp ground cumin, 1 tsp sweet smoked paprika, 1 tsp Tabasco, 1 tsp Worcestershire sauce, 1½ x 400g cans black beans (360g total drained weight), ½ red onion, finely chopped, 150g mixed tomatoes, finely chopped, 1 jalapeño or green chilli, finely chopped, Juice 1 large lime, Soured cream or chipotle mayo (we like Gran Luchito), 4 large tortilla wraps, Bunch fresh coriander, finely chopped, 60g mature cheddar, grated, 2 small avocados, peeled, stoned and halved, Finely grated zest and juice 1 lime, Mexican chilli sauce and sliced jalapeños",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mexico
4,Mexican chicken and tortilla stew,"Splash of vegetable oil, 1 chopped red onion,  1½ tbsp fajita seasoning  , 1 sliced orange pepper, 400g tin of black beans, 198g tin of sweetcorn, 2 x 400g tins of chopped tomatoes, 1kg higher welfare cooked roast chicken, 1 tbsp soured cream, Few sliced radishes, Squeeze of lime juice, A few fresh coriander leaves, Tortilla chips",242,7,1.6,28.8,13.4,9.1,5,0.3,Mexico
5,"Black bean, sweetcorn and red pepper chimichangas","2 x 400g tins black beans, drained and rinsed, 2 tbsp chipotle paste, 396g tin sweetcorn, drained, 100g lancashire cheese, crumbled, 3 ready-roasted red peppers from a jar, roughly chopped, Finely grated zest 1 lime, juice of 2, plus wedges to serve, 8 tortilla wraps, Vegetable oil for brushing, 150g pot guacamole, 4 tbsp soured cream, Handful fresh coriander leaves",491,21,8.5,15.5,54.7,8,10.4,1.8,Mexico
6,Real black bean chilli con carne with avocado and lime salsa,"225g dried black beans, soaked overnight (see tip), 4 tbsp sunflower oil, 1.5kg chuck steak, cut into 2.5cm chunks, 1 large onion, chopped, 5 garlic cloves, crushed, 4 tsp chipotle chilli paste, 3 jalapeño chillies, deseeded and finely chopped,  1 tbsp toasted cumin seeds, ground, 1 tbsp sweet paprika powder, 1½ tsp medium chilli powder (optional), 400g can chopped tomatoes, 800ml fresh beef stock, 1 tbsp light muscovado sugar, 2 tsp dried oregano, 6 fresh bay leaves, Steamed white rice to serve, Soured cream to serve, Coarsely chopped fresh coriander or whole leaves to garnish, 2 small ripe but firm avocados, peeled, stones discarded and the flesh cut into small dice, 1 medium red onion, finely chopped, 2 jalapeño chillies, deseeded and finely chopped, 20g fresh coriander, coarsely chopped, Juice 1 lime, 4 shakes Tabasco chipotle sauce",531,24.5,7.4,52,20.8,8.2,9.9,1.08,Mexico
7,"Cheesy quesadillas with tomato, red pepper and avocado salsa","2 chopped ripe avocados, 250g chopped cherry tomatoes, 1 bunch chopped fresh coriander, 1 sliced shallot, Finely grated zest and juice of 1 lime, 1 tbsp olive oil, 100g grated cheddar, 50g sliced roasted red peppers, ½ tsp chipotle chilli flakes, 4 small corn tortillas, Soured cream, to serve",421,28.7,9.3,11.5,26.6,3.9,5.4,0.9,Mexico
8,Prawn tacos,"½ red cabbage, finely shredded, Juice 3 limes, 100g radishes, sliced, Large handful fresh coriander, leaves roughly chopped, 1 ripe avocado, 200g sustainable frozen raw prawns, defrosted, 2 tsp fajita spice mix (Schwartz, Bart or Old El Paso), 1 tbsp vegetable oil, 8 small soft white tortilla wraps, 8 tbsp soured cream",404,14.1,6.1,18.1,48,7.2,6.3,2,Mexico
9,Mexican chicken taco salad,"2 large red peppers, cut into large chunks, 4 large salad onions, cut into thirds lengthways or 1 red onion cut into wedges , 4 tsp light olive oil, 1-2 tbsp chilli sauce (such as chipotle sauce or Cholula), Grated zest 2 limes and juice 1, the remaining lime cut into wedges, 4 tbsp mayonnaise, 1 large crunchy lettuce, roughly shredded, 350g mixed tomatoes, roughly chopped, 4 large or 6 small corn tortillas (we used Wahaca flour and yellow corn tortillas from Ocado), Large handful fresh coriander, leaves picked and chopped, 1 ready-roasted rotisserie chicken (roughly 900g), cut into chunky portions",574,28.6,5,37.6,39.5,7.5,4.3,1,Mexico
