,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Spiced coconut pastries,"1 small cinnamon stick, 4 cardamom pods, 1 bay leaf, 150g desiccated coconut, 1 tsp ghee (clarified butter), 180g date molasses (see Know How), 250g plain flour, plus extra to dust, ¼ tsp salt, ½ tsp sugar, 2 tbsp vegetable oil, plus extra for deep-frying, Dried edible petals to decorate (optional; from souschef.co.uk), Digital probe thermometer;tray lined with kitchen paper",201,11.9,5.6,2,22.8,6.6,2.4,0.1,India
1,Speedy salmon biryani,"300g basmati rice, ½ tbsp vegetable oil, 2 large red onions, finely sliced, 2 garlic cloves, crushed, Large thumb-size piece fresh ginger, grated, 1 cinnamon stick, 4 tbsp mild curry paste (we used Patak’s; check it’s gluten free), 800ml chicken stock (gluten-free), 2 x 80g fillets sustainably sourced hot-smoked salmon, skin removed and flesh flaked, 240g baby leaf spinach, ½ small bunch fresh coriander, chopped, plus extra to serve",478,10.5,2.7,23.3,70.4,7.9,4,0.8,India
2,Onion bhajis with yogurt and goat’s cheese dip,"1 tsp cumin seeds, 1 tsp coriander seeds, 1 tsp black peppercorns, 4 medium onions, very thinly sliced, 2 garlic cloves, sliced, 120g gram (chickpea) flour, 1½ tbsp curry powder, 1 tsp ground turmeric, 2 tsp black onion or nigella seeds, 1 tsp fine sea salt, Sunflower oil for deep frying, 350ml natural yogurt, 150g soft rindless goat’s cheese (check it’s vegetarian if need be), ½ garlic clove, finely grated, 1 green chilli, thinly sliced (optional), 1 tsp black onion or nigella seeds, 1 small bunch chives, finely chopped",112,6.2,2.3,5,8,3.7,2,0.5,India
3,Falafel curry with spinach,"4 garlic cloves, grated, 4cm piece ginger, grated, 2 tbsp vegetable oil, 2 tbsp tomato purée, 1 tsp ground cumin, 1 tsp ground coriander, ½ tsp ground turmeric, 1 tbsp garam masala, 250g full-fat natural yogurt (see tips), plus extra to drizzle, 2 packs spinach falafels (see tip), 125g baby leaf spinach, Juice 1 lemon, Poppadums, mango chutney and steamed rice to serve (optional)",357,18.4,2.3,10.7,33.6,10.9,7.1,0.6,India
4,Tomato and tamarind fish curry,"2 tsp coriander seeds, 1 tsp cumin seeds, 1 tsp chilli flakes, 1 tsp ground turmeric, 1½ tbsp tamarind paste, 3 garlic cloves, crushed, 2cm piece fresh ginger, peeled and chopped, 2 tbsp mild-flavoured oil (to make a paste and to fry), 2 onions, sliced, 2 tsp black mustard seeds, 8 dried curry leaves, 3 medium potatoes (about 400g) cut into wedges – maris piper work well, 400g tin chopped tomatoes, 300ml good-quality fish stock, 200ml coconut cream, 600g firm white sustainable fish fillet, such as cod, coley or haddock, cut into 3cm chunks, Small bunch fresh coriander, leaves picked, 1-2 tbsp desiccated coconut, toasted in a dry pan, Cooked jasmine rice, Lime wedges",402,16.5,8.3,31.4,29.3,9.6,4.9,1.1,India
5,Warm spiced rum chai,"8 green cardamom pods, 2 cinnamon sticks, 2 star anise, 1 tsp black peppercorns, 6 cloves, 6 breakfast tea bags, 1 litre whole milk, 5cm piece of fresh ginger, thinly sliced,  6-8 tbsp honey,  250ml dark spiced rum",121,3,1.9,2.8,9.1,9.1,trace,0.1,India
6,Vegan coconut curry,"2 tbsp light olive oil or coconut oil, 2 x 280g packs firm tofu, cut into chunks and dried on kitchen paper, 4 large spring onions, white and green parts sliced separately, 4 garlic cloves, crushed, 1-2 red chillies, sliced, to taste, 1 tbsp cumin seeds, bashed, 10 fresh or 15 dried curry leaves, 400ml half-fat coconut milk, 300ml chicken/vegetable stock (or simply use boiling water), 175g frozen peas, 200g tenderstem broccoli, 1 tbsp tamarind paste, plus extra to drizzle",386kcal,24.3,9.1,25.3,12.6,5.6,7,0.3,India
7,Rose and pistachio gulab jamun,"14 green cardamom pods, 300g caster sugar, 1 tbsp rosewater (see tip), ½ tbsp lemon juice, 250g milk powder (we used Marvel skimmed milk powder, available from larger supermarkets), 70g plain flour, 1 tsp baking powder, 2 tbsp ghee, melted, 150-175ml whole milk, 1 litre vegetable oil for deep frying, 50g shelled unsalted pistachios, finely chopped, Small handful edible rose petals, Edible gold leaf (optional; from Sainsbury’s and Waitrose), Digital probe thermometer",137,5.2,1.4,5.6,16.9,14.2,0.1,0.3,India
8,Keema pav with shredded brussels sprouts,"Vegetable oil for frying, 2 onions, finely chopped, 3 garlic cloves, grated, 5cm piece fresh ginger, grated, 200ml tomato passata, 600g British lamb mince, 1 tsp chilli powder, 1 tbsp garam masala,  1 tsp cumin seeds, 200g brussels sprouts, finely shredded, 1 tbsp runny honey, Juice 1 lemon, ½ bunch fresh coriander, chopped,  2 green chillies, halved, de-seeded and finely sliced, 6-8 soft white buns, Large knob of butter",411,16.9,5.3,23.8,38.7,6.8,4.4,0.8,India
9,Pumpkin and coconut pilau,"300g basmati rice, 2 red onions, peeled and cut into wedges, 1kg pumpkin or squash (with edible skin), halved, deseeded and cut into 3cm wedges, Vegetable oil for drizzling, 1 tbsp garam masala, 1 tsp cumin seeds, Good pinch saffron, 3 green chillies, 2 tbsp coconut oil, 3 garlic cloves, finely sliced, 7cm piece fresh ginger, peeled and cut into matchsticks, 1 cinnamon stick, 4 cloves, Large handful coconut flakes or toasted coconut, Large handful dried cranberries, A few fresh coriander and mint sprigs, leaves picked, 1 lemon for squeezing",370,12.8,7.2,7.2,53.8,10.3,5.7,trace,India
