,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Slow-cooked duck tacos with pineapple salsa,"Vegetable oil for frying, 4 Gressingham duck legs, pierced all over with the tip of a sharp knife, 1 medium pineapple, peeled, halved and cored, 200ml tequila (we used El Jimador), plus a splash for the salsa, 100ml chicken stock, 2 tsp chipotle paste, Pinch dried chipotle chilli flakes, 1 red onion, chopped, 2 jalapeño chillies (or 1 red chilli), deseeded and finely chopped, Bunch fresh coriander, chopped, 1 lime, halved, 4 tbsp mayonnaise, 2 tbsp soured cream, 2 tsp chipotle paste, Pack 8 corn tortillas, 1 large (or 2 small) ripe avocados, ½ iceberg lettuce, Lime wedges for squeezing, Shallow flameproof casserole or large ovenproof frying pan",739,58.1,12.6,67.2,47.4,23.2,7.7,1.3,Mexico
1,Mexican picadillo pasties,"1 quantity pastry (see Debbie Major’s Cornish pasties), 225g onion, chopped, 600g peeled waxy potatoes, diced, 225g carrots, diced, 450g braising steak, diced, 1 medium-hot jalapeño chilli, seeded and finely chopped, 3 garlic cloves, finely chopped, 1 tsp ground cumin, 1 tsp dried oregano, 2 tbsp tomato purée, 1 tbsp small capers, rinsed and drained, 1 tbsp finely chopped green olives, 1 medium free-range egg, beaten",796,37,11.9,30,81.8,6.8,7.7,0.3,Mexico
2,Smoky pork and black bean stew with kale,"Mild, light olive oil for frying, 400g pork tenderloin, cut into chunks, 2 red onions, chopped, 1½ tsp paprika, ½ tsp ground cinnamon, 1 x 28g chicken stock pot (we used Knorr), 400g black beans, 2 large handfuls chopped kale, 30g butter, Cooked quinoa or wholegrain rice and lemon or lime wedges to serve",350,17.3,6.6,28.5,17,5.7,6.2,1.9,Mexico
3,Mexican veggie and tortilla soup,"1 red onion, diced, 1 red pepper, diced, 400g can chopped tomatoes, 1-2 tablespoons chipotle hot sauce, 1 Knorr Vegetable Stockpot dissolved in 300ml boiling water (we like Knorr), 100g frozen sweetcorn, 40g lightly salted tortilla chips, 1 can kidney beans, strained, 30g cheddar cheese, grated and ½ avocado, diced",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mexico
4,Smoky sausage chilli,"Oil for frying, 4 carrots, chopped,  4 celery sticks, chopped,  4 garlic cloves, crushed, 2 bay leaves,  2 tsp ground cumin, 2 tsp ground coriander, 90g chipotle paste,  12 free-range pork sausages, cut into chunks, 3 x 400g cans chopped tomatoes, Steamed basmati rice, 1 sliced  red chilli, fresh coriander leaves, soured cream, lime wedges and tortilla chips to serve, Flameproof lidded casserole",416,28.8,9.7,14.3,21.6,14.2,6.7,1.4,Mexico
5,Butternut squash chilli with rice,"3 tbsp olive oil, 2 red onions, chopped, 2 red peppers, chopped,  2 celery sticks, chopped, 1 butternut squash, cut  into chunks (we used 700g ready-cut chunks),  4 garlic cloves, crushed, 1 tbsp ground cumin, 1 tbsp ground coriander,  2 tbsp chipotle paste,  680g jar passata, Glug red wine (optional), 28g vegetable stock pot  (we used Knorr),  400g tin pinto beans, rinsed  and drained, 400g tin brown lentils, rinsed  and drained, Large handful chopped fresh coriander, plus leaves to garnish,  Steamed basmati rice, soured cream and lime wedges to serve",213,5.7,0.8,9.2,27.1,12.1,8,0.7,Mexico
6,Easy shakshuka,"100ml olive oil, 2 onions, finely sliced, 2 red peppers, finely sliced, 1-2 red chillies, finely chopped, 5 garlic cloves, finely sliced, 2 tsp cumin seeds, 1 tbsp paprika, 2 x 400g tins chopped tomatoes, 1 tbsp soft brown sugar, 2 bay leaves, A few fresh thyme sprigs, 4 large free-range eggs, Handful chopped fresh parsley",360,26.9k,16.3,12.9,18.8,16.3,5,0.5,Mexico
7,"Spicy ancho chilli, chicken and chorizo hotpot","2 ancho chillies (from large supermarkets, delis and coolchile.co.uk), soaked for 10 minutes in hot water, Olive oil for frying, 1 onion, sliced, 2 tsp ground cumin, 2 tsp hot smoked paprika, 5cm piece fresh ginger, peeled and finely chopped, 200g cooking chorizo, sliced, 8 (about 750g) free-range skinless and boneless chicken thighs, chopped into chunks, 250ml red wine, 2 x 400g tins chopped tomatoes, 1 tsp sugar, 2 flour tortillas, Zest 1 lemon, Bunch fresh flatleaf parsley, leaves picked, Lidded flameproof casserole",441,19.7,6.2,38.1,18.7,6.8,2.7,1.8,Mexico
8,Harissa-spiced lamb tacos,"2 tbsp rapeseed oil, 1 onion, finely chopped, 1 tsp ground coriander, 450g British lean lamb mince, 4 tbsp rose harissa, 100g sultanas, 8 taco shells, 80g feta, 1 small avocado, sliced, 4 little gem lettuces, roughly chopped,  Sliced green chilli",580,4.3,10,28.9,36.7,21.1,4.4,1.1,Mexico
9,Smoked-lentil tacos with pico de gallo,"250g cherry tomatoes, chopped, Small onion, very finely chopped, 1 tsp very finely chopped red chilli, 2 tbsp lime juice, Handful fresh coriander, chopped, 210g dried green lentils, soaked and drained, 1 tbsp coconut oil, 3 small onions, sliced, 1 tsp fine sea salt, 1 large garlic clove, very finely chopped, 35g sun-dried tomatoes, chopped, 1 tsp hot smoked paprika, 1½ tsp dried oregano, 2 tsp tamari or soy sauce, 300g finely shredded red cabbage, ½ tsp fine sea salt, plus extra as needed, 1½ tsp lime juice, plus wedges to serve, 1 tbsp extra-virgin olive oil, 1 tsp maple syrup, plus extra as needed, Handful chopped fresh flatleaf parsley or fresh coriander (leaves and tender stems), or a mixture, 1 small red chilli, deseeded and sliced (leave the seeds in if you like more heat), 6 corn tortillas, warmed, 1 ripe avocado, sliced, Hot sauce (optional)",406,15,3.7,14.2,48.4,9.2,10.5,2,Mexico
